,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,9,0,2,0,0,0,4,1,1,14,37,-14.815770331929997,False,PLATINUM
1,11,5,1,0,1,0,4,1,0,1,36,29,9.564272301154574,True,PLATINUM
2,4,10,0,4,1,1,3,3,2,0,26,41,-5.144365661318432,False,PLATINUM
3,10,2,2,0,1,0,2,2,1,0,41,32,3.137499957840994,True,PLATINUM
4,11,7,3,0,2,1,3,3,0,1,40,42,-0.48369179741397517,True,PLATINUM
5,0,11,0,3,0,1,1,2,0,2,20,37,-10.449510789528262,False,PLATINUM
6,5,11,0,3,1,1,3,1,0,2,43,30,4.458679147395223,False,PLATINUM
7,7,10,1,2,0,2,2,4,1,0,41,48,-4.1391870307185386,False,PLATINUM
8,3,11,0,2,0,2,1,3,0,1,24,39,-7.820082676595163,False,PLATINUM
9,3,11,0,3,0,1,1,3,1,1,33,46,-8.303975426217086,False,PLATINUM
10,3,7,0,1,0,1,1,2,1,1,22,36,-8.315056921600814,False,PLATINUM
11,5,10,1,4,1,2,3,3,1,1,48,55,0.7424808793395314,False,PLATINUM
12,0,10,0,2,0,1,0,3,0,1,21,48,-9.582216379917867,False,PLATINUM
13,11,2,4,0,2,0,4,0,0,1,42,20,8.474243381301505,True,PLATINUM
14,1,10,0,2,0,1,1,2,0,2,20,35,-9.61103126356388,False,PLATINUM
15,2,10,0,3,0,1,1,2,0,2,21,29,-3.94165233321646,False,PLATINUM
16,2,9,0,1,0,0,1,2,2,0,7,37,-18.49569690381196,False,PLATINUM
17,2,11,0,3,0,1,2,2,1,1,23,31,-4.915097692762522,False,PLATINUM
18,7,10,1,3,0,3,3,3,0,2,39,29,5.682496987806353,True,PLATINUM
19,5,8,0,1,0,1,0,4,0,1,27,37,-4.640611353157524,False,PLATINUM
20,11,2,3,0,1,0,3,1,1,1,45,24,5.641616194944227,True,PLATINUM
21,8,8,1,3,1,0,3,2,0,2,41,33,5.0088588748526774,True,PLATINUM
22,10,1,2,0,1,0,2,1,2,0,33,21,6.946076372498325,True,PLATINUM
23,2,10,0,2,0,1,0,4,0,1,19,34,-4.041730500197282,False,PLATINUM
24,3,7,0,1,0,1,3,1,2,0,16,39,-9.083724453603224,False,PLATINUM
25,7,8,1,1,2,0,2,3,0,2,38,59,-8.95716363510492,False,PLATINUM
26,6,9,1,1,1,1,1,4,2,0,29,57,-10.381943066056131,False,PLATINUM
27,0,11,0,3,0,1,0,4,0,1,22,44,-7.980973518873036,False,PLATINUM
28,11,1,4,0,1,0,2,1,2,0,37,19,11.40158567701269,True,PLATINUM
29,3,10,0,2,0,1,3,2,0,1,35,63,-9.464848837742032,False,PLATINUM
30,1,11,0,2,0,1,0,4,0,2,25,53,-10.709071257698255,False,PLATINUM
31,4,10,0,2,0,2,3,1,0,2,25,30,-1.987500399233788,False,PLATINUM
32,2,11,0,4,0,1,3,1,0,2,34,32,-1.500358592421847,False,PLATINUM
33,4,10,0,2,1,0,1,3,2,0,26,47,-3.594638860115829,False,PLATINUM
34,11,3,4,0,1,1,5,1,1,1,57,48,0.3614923172640374,True,PLATINUM
35,7,8,1,2,0,3,4,2,1,0,55,62,-3.5655328342226937,False,PLATINUM
36,1,11,0,2,0,1,0,3,0,1,19,33,-8.293478482478925,False,PLATINUM
37,11,0,4,0,1,0,3,1,0,1,46,29,10.92194422936101,True,PLATINUM
38,0,8,0,1,0,1,0,3,0,1,20,33,-7.509803722310288,False,PLATINUM
39,2,11,0,3,0,1,1,3,0,2,20,32,-5.805906370232044,False,PLATINUM
40,1,11,0,3,0,2,0,3,0,2,31,35,-1.9866766163598726,False,PLATINUM
41,8,3,1,0,1,0,3,0,1,0,32,23,5.060082285937391,True,PLATINUM
