,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,10,3,3,1,2,1,4,1,0,41,51,-3.288219135402713,False,GOLD
1,9,3,3,0,0,1,3,1,0,1,49,41,8.579647811991386,True,GOLD
2,9,2,3,0,1,0,3,0,0,1,46,23,11.567978873067759,True,GOLD
3,1,8,0,1,0,1,0,3,1,1,17,38,-12.464454993240139,False,GOLD
4,11,4,4,0,2,0,5,1,2,0,33,37,-2.2735779170885806,True,GOLD
5,10,8,3,1,0,1,2,2,1,0,58,58,-3.458169865851694,False,GOLD
6,9,8,2,1,0,2,2,2,0,1,34,55,-5.09766984394593,False,GOLD
7,11,4,3,0,2,1,3,2,1,1,29,31,-0.745253123941815,True,GOLD
8,9,6,3,1,0,0,1,3,2,0,46,34,2.796302460789633,True,GOLD
9,10,1,2,0,1,0,2,0,0,0,37,25,7.425741778186229,True,GOLD
10,11,5,6,1,2,1,3,2,1,0,39,51,-7.238078893768908,True,GOLD
11,11,5,3,0,0,1,3,2,0,2,54,45,0.3972093086258468,True,GOLD
12,9,1,2,0,1,0,2,1,2,0,35,30,-0.2864808672845811,True,GOLD
13,9,4,1,0,1,0,3,1,1,0,41,45,-3.8166909512014797,True,GOLD
14,6,7,0,2,0,2,0,4,0,2,26,49,-7.933057581319133,False,GOLD
15,11,0,4,0,1,0,3,1,0,1,36,29,0.8145144629693206,True,GOLD
16,5,8,0,1,0,1,1,3,0,1,34,45,-4.722105672764897,False,GOLD
17,7,8,1,3,1,0,1,3,0,2,45,63,0.7536054275169093,True,GOLD
18,8,4,1,0,0,1,3,1,0,2,47,51,0.5227602557486861,True,GOLD
19,8,2,1,0,1,0,4,0,1,1,48,33,10.714142325488183,True,GOLD
20,10,5,2,0,1,0,0,3,0,2,42,37,1.8856936352007239,True,GOLD
21,4,11,0,3,0,2,0,4,0,2,30,43,-4.740374227085759,False,GOLD
22,10,2,2,0,1,0,3,1,1,1,49,21,15.089886879785649,True,GOLD
23,7,9,0,2,0,1,1,4,1,0,22,40,-9.555211756981834,False,GOLD
24,11,1,3,0,0,0,2,2,0,1,59,39,2.501742662536209,True,GOLD
25,8,11,2,4,0,1,1,4,1,0,32,43,-9.886728958081186,False,GOLD
26,4,10,0,2,0,0,1,2,0,1,23,37,-3.0597701899876455,False,GOLD
27,10,8,3,1,0,2,4,1,2,0,28,56,-9.08781091080639,False,GOLD
28,3,7,0,2,0,0,0,3,1,1,26,46,-8.67782120014568,False,GOLD
29,1,11,0,3,0,0,1,2,0,1,24,43,-14.08438307848575,False,GOLD
30,8,1,2,0,0,0,3,0,2,0,45,34,7.975122065304291,True,GOLD
31,11,3,4,0,0,1,4,1,0,2,49,48,-5.303371130010433,True,GOLD
32,8,4,1,0,0,0,2,2,0,1,49,32,7.875764008642207,True,GOLD
33,8,4,1,0,1,0,1,3,0,1,41,33,1.5974990035726648,True,GOLD
34,5,8,0,1,1,0,0,4,2,0,21,31,-4.6007224287502595,False,GOLD
35,4,8,0,2,1,1,3,2,1,1,28,34,-1.4165575696217587,False,GOLD
36,8,7,1,1,1,2,4,2,2,0,37,34,-2.5314055656066614,True,GOLD
37,10,7,2,1,1,0,3,1,0,2,48,40,1.9850340252991927,True,GOLD
38,2,7,0,1,0,1,3,0,0,2,21,41,-10.545794938904486,False,GOLD
39,1,10,0,2,0,1,3,1,1,1,20,27,-2.905556679837794,False,GOLD
