,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,2,2,0,0,0,0,0,0,0,64,49,-0.5082087068723808,True,DIAMOND
1,10,3,2,0,1,0,4,0,1,1,36,21,10.597392462977886,True,DIAMOND
2,10,1,1,0,1,0,2,1,2,0,26,14,5.575837478576027,True,DIAMOND
3,8,5,1,0,2,0,3,1,0,2,43,23,12.516813963052542,True,DIAMOND
4,6,7,1,1,0,1,3,2,2,0,18,40,-11.51862387952319,False,DIAMOND
5,10,2,2,0,1,0,3,0,1,1,33,19,9.420870061932035,True,DIAMOND
6,8,4,1,0,1,0,3,1,2,0,36,24,3.378854638569436,True,DIAMOND
7,11,1,4,0,1,0,2,2,1,1,37,24,6.4906245871172175,True,DIAMOND
8,3,11,0,3,0,2,1,4,0,2,27,33,-5.726806256185199,False,DIAMOND
9,10,7,2,1,2,1,4,3,2,0,61,48,1.3201266191254035,True,DIAMOND
10,6,10,0,3,1,1,0,5,1,1,29,33,-0.8379423737898222,False,DIAMOND
11,5,3,0,0,1,0,2,2,0,1,28,21,2.924548472750878,True,DIAMOND
12,2,11,0,2,0,1,0,4,1,1,25,29,1.3454146262299957,False,DIAMOND
13,9,5,1,0,1,1,4,1,1,1,39,34,-1.4388756027125922,True,DIAMOND
14,10,5,2,0,1,0,3,0,0,2,49,14,14.678427503289598,True,DIAMOND
15,9,2,1,0,1,0,3,1,2,0,41,23,11.462975811159552,True,DIAMOND
16,11,5,3,0,1,0,3,2,0,1,50,21,13.12869705999194,True,DIAMOND
17,6,2,0,0,0,0,2,1,0,1,26,16,6.98006355898584,True,DIAMOND
18,11,2,2,0,1,0,3,1,2,0,37,15,9.11351163886279,True,DIAMOND
19,11,1,3,0,1,0,2,0,2,0,37,14,8.600920231493788,True,DIAMOND
20,2,7,0,1,0,1,2,1,0,2,16,29,-10.451110993839528,False,DIAMOND
21,10,2,2,0,1,0,2,2,1,1,25,13,8.114429810532677,True,DIAMOND
22,0,10,0,2,0,0,1,2,0,2,23,38,-9.627502738579729,False,DIAMOND
23,10,4,2,0,0,1,3,2,1,1,38,38,0.684429272526053,True,DIAMOND
24,9,7,2,0,1,0,4,0,2,0,33,23,6.5194551224291075,True,DIAMOND
25,7,11,1,4,0,2,1,4,1,1,32,21,7.843813323060338,True,DIAMOND
