,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,4,1,0,1,0,4,0,0,1,45,37,3.8884263651617132,True,GOLD
1,11,1,2,0,1,0,1,2,0,1,45,9,16.97282835631872,True,GOLD
2,6,11,0,5,1,1,3,2,1,1,42,34,5.210193560556398,False,GOLD
3,2,11,0,3,0,1,0,5,1,1,38,53,-4.564454689620618,False,GOLD
4,9,6,1,2,1,0,1,3,0,1,40,43,2.5221184880768988,True,GOLD
5,9,6,1,0,2,0,4,1,0,1,51,32,9.030846577957625,True,GOLD
6,2,11,0,3,1,1,3,1,1,1,15,36,-14.118407260280577,False,GOLD
7,8,6,1,1,2,1,2,3,0,1,27,29,-0.15179286077734844,True,GOLD
8,10,4,2,0,1,0,3,1,0,2,36,27,4.192845724841469,True,GOLD
9,5,8,0,2,0,1,0,3,1,0,19,28,-6.316949148420981,False,GOLD
10,2,8,0,2,0,1,2,1,0,2,18,25,-7.865265011829699,False,GOLD
11,8,7,1,1,2,0,2,3,1,1,52,38,3.742152287640863,True,GOLD
12,9,3,1,0,1,0,2,1,1,1,38,22,6.652074172591327,True,GOLD
13,10,3,2,0,1,0,2,2,1,0,46,18,11.155955129275121,True,GOLD
14,10,0,2,0,1,0,3,0,1,1,31,17,7.606165675932353,True,GOLD
15,10,4,2,0,1,0,3,1,0,1,34,16,7.281473031248723,True,GOLD
16,2,10,0,4,0,1,2,3,1,1,37,49,-3.854188541040486,False,GOLD
17,5,5,1,0,1,0,3,0,2,0,39,20,11.744457804439108,True,GOLD
18,9,4,1,0,1,0,2,2,2,0,32,22,4.241439145293974,True,GOLD
19,10,2,1,0,1,0,1,2,1,0,41,26,4.866890596543691,True,GOLD
20,10,3,2,0,2,0,2,2,2,0,47,24,10.987426762329758,True,GOLD
21,8,0,1,0,1,0,2,1,1,0,28,12,11.482515927379431,True,GOLD
22,7,11,1,3,0,2,2,4,1,1,54,33,7.90726425483993,True,GOLD
23,9,3,1,0,1,0,4,0,1,1,31,19,7.390249512641802,True,GOLD
24,8,4,1,0,0,2,4,1,0,2,35,26,6.419354730202755,True,GOLD
25,8,4,1,0,1,1,2,2,1,1,45,27,8.872005582912635,True,GOLD
26,8,2,1,0,1,0,3,0,2,0,27,9,15.326153355367744,True,GOLD
27,8,2,1,0,1,0,3,1,1,0,37,20,6.7660937056632875,True,GOLD
28,7,7,1,2,0,1,3,2,0,1,46,65,-4.7468629695364655,False,GOLD
29,6,2,0,0,1,0,3,1,1,1,27,9,14.627911157126768,True,GOLD
30,11,1,5,0,2,0,4,2,2,0,59,49,2.133104324459005,True,GOLD
31,11,1,6,0,1,1,5,0,2,0,60,44,5.057791157138126,True,GOLD
32,10,3,3,0,1,0,3,0,1,0,31,10,15.179299564752142,True,GOLD
33,7,5,1,0,1,0,2,1,0,2,34,20,8.552953698447809,True,GOLD
34,10,8,2,2,1,2,2,4,1,0,42,47,-1.6685494827481193,True,GOLD
35,2,8,0,1,0,1,1,2,0,2,20,35,-6.211237395297786,False,GOLD
36,8,2,1,0,1,0,3,1,1,0,43,16,12.477466425161289,True,GOLD
