,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,10,0,2,0,2,3,1,1,1,22,28,-2.7939022865033962,False,GRANDMASTER
1,9,2,3,0,1,0,4,0,2,0,30,13,8.949913026790377,True,GRANDMASTER
2,2,9,0,1,0,2,2,2,1,1,17,31,-6.323714405143207,False,GRANDMASTER
3,1,10,0,2,0,1,2,2,1,1,17,26,-4.936228681965389,False,GRANDMASTER
4,9,3,1,0,1,0,3,0,1,1,27,18,2.665822706552582,True,GRANDMASTER
5,2,10,0,2,0,1,2,2,0,2,9,28,-11.835843012862007,False,GRANDMASTER
6,3,10,0,2,1,0,1,3,1,0,20,37,-9.720627697394313,False,GRANDMASTER
7,3,9,0,2,0,1,2,2,2,0,23,33,-6.165256916805987,False,GRANDMASTER
8,8,3,1,0,1,0,2,2,1,1,25,17,1.1531125401475606,True,GRANDMASTER
9,10,3,1,0,1,0,2,1,2,0,34,24,0.9877674724109724,True,GRANDMASTER
10,5,8,0,1,1,1,0,4,2,0,30,34,-4.517911127686936,False,GRANDMASTER
11,2,11,0,3,0,2,1,4,0,2,21,45,-8.805756841222276,False,GRANDMASTER
12,4,7,0,1,0,1,0,4,1,1,19,26,-4.748836403246074,False,GRANDMASTER
13,10,3,1,0,1,0,4,0,0,2,35,30,3.445423887315741,True,GRANDMASTER
14,7,2,1,0,1,0,4,0,2,0,34,32,-1.651537026419902,True,GRANDMASTER
15,7,4,1,0,1,0,3,0,1,1,31,31,2.9350840381465417,True,GRANDMASTER
16,8,1,1,0,1,0,3,0,1,0,27,13,15.103404117022407,True,GRANDMASTER
17,0,11,0,4,0,1,0,3,0,2,9,19,-6.71835333894316,False,GRANDMASTER
18,2,4,0,0,0,1,1,2,0,2,18,25,-7.31592624971136,False,GRANDMASTER
19,11,2,4,0,1,1,3,2,1,0,22,24,-1.8186288947003675,True,GRANDMASTER
20,11,3,3,0,2,0,0,4,0,2,39,25,5.452688495961169,True,GRANDMASTER
21,2,8,0,1,0,1,1,2,0,2,29,57,-9.45054181885537,False,GRANDMASTER
22,6,1,1,0,1,0,2,1,1,1,30,8,14.770203141824872,True,GRANDMASTER
23,10,2,2,0,1,0,4,0,1,1,38,25,6.636090679742438,True,GRANDMASTER
24,11,3,3,0,2,0,4,1,2,0,38,24,5.804769346162011,True,GRANDMASTER
25,3,5,0,0,0,1,0,3,1,1,21,28,-5.617263586360437,False,GRANDMASTER
26,1,9,0,3,0,2,1,3,1,1,14,30,-8.68477360609512,False,GRANDMASTER
27,9,5,1,0,1,0,1,2,1,1,31,44,-6.471614120666445,True,GRANDMASTER
28,2,10,0,3,0,2,0,4,0,2,14,28,-7.680755154641695,False,GRANDMASTER
29,9,0,1,0,1,0,3,0,2,0,28,15,10.654562212112687,True,GRANDMASTER
30,4,3,0,0,1,0,4,0,0,2,20,12,7.358699311924113,True,GRANDMASTER
31,2,10,0,3,0,1,3,1,0,2,28,42,-4.116264998954591,False,GRANDMASTER
32,0,8,0,1,0,1,1,3,1,1,21,36,-8.275364654900173,False,GRANDMASTER
