,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,8,0,1,0,1,2,2,1,1,23,27,-5.115178153934174,False,MASTER
1,5,6,0,1,0,2,1,4,0,1,27,48,-8.975275020185656,False,MASTER
2,3,6,0,0,0,2,3,1,0,1,14,20,-4.779268576806587,False,MASTER
3,7,2,2,0,1,0,3,2,0,1,39,30,2.2025677771058128,True,MASTER
4,2,9,0,2,0,1,0,3,0,2,16,35,-9.61185772009518,False,MASTER
5,1,8,0,1,0,1,0,4,1,1,23,38,-5.783642664113778,False,MASTER
6,5,6,0,0,0,1,3,1,0,2,13,24,-9.595981559046898,False,MASTER
7,10,2,2,0,1,0,3,0,2,0,24,14,5.795874031121663,True,MASTER
8,10,8,3,1,1,2,4,2,1,0,39,36,0.888126468582783,True,MASTER
9,2,11,0,2,0,2,3,2,1,1,27,51,-9.678262375528845,False,MASTER
10,11,0,3,0,1,0,3,0,2,0,29,26,4.021107449265514,True,MASTER
11,11,3,3,0,1,1,3,2,0,1,37,28,2.1495901307576517,True,MASTER
12,3,10,0,2,0,1,1,3,1,1,18,41,-10.585944758973895,False,MASTER
13,7,8,1,0,1,1,2,3,0,2,35,33,-0.4074655073352673,True,MASTER
14,10,3,1,0,2,0,3,2,1,1,43,42,0.5655732074990638,True,MASTER
15,1,11,0,2,0,2,2,3,0,2,17,31,-7.017497745633349,False,MASTER
16,9,0,2,0,1,0,1,2,2,0,35,27,6.0051788533166,True,MASTER
17,1,9,0,1,0,1,2,1,0,2,23,33,-7.398954146392491,False,MASTER
18,9,1,2,0,1,0,4,0,1,0,35,32,2.8056249376365656,True,MASTER
19,11,5,3,0,2,0,4,1,1,1,47,33,3.857345504845071,True,MASTER
20,10,2,2,0,1,0,4,0,2,0,24,22,-2.06793815621527,True,MASTER
21,9,7,1,2,2,0,2,3,1,1,39,26,4.115182637688299,True,MASTER
22,1,10,0,2,0,1,1,3,0,2,31,35,-1.1197753601155611,False,MASTER
23,5,9,0,2,0,2,1,3,0,2,24,39,-3.983389821160351,False,MASTER
24,9,4,1,0,2,0,3,2,1,1,27,18,6.777153937667968,True,MASTER
25,4,8,0,1,0,1,1,2,1,1,20,33,-9.785925304927758,False,MASTER
26,9,3,2,0,1,0,3,1,0,2,26,19,7.374406635611891,True,MASTER
27,11,3,3,0,0,0,3,1,1,1,32,16,5.832752766167431,True,MASTER
28,9,3,3,0,2,0,3,2,1,0,52,31,8.800580096068629,True,MASTER
29,11,2,3,0,1,0,2,1,1,1,38,23,6.009384596953332,True,MASTER
30,8,11,2,3,1,2,3,2,0,2,29,54,-7.222289895628521,False,MASTER
31,10,1,2,0,1,0,3,1,1,1,37,20,9.938391225987246,True,MASTER
32,11,4,3,0,2,0,3,2,1,1,41,32,4.122660414616817,True,MASTER
