,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,11,3,4,1,1,4,2,1,1,57,56,5.353190097573311,True,IRON
1,5,7,0,2,0,2,4,1,1,1,43,53,-3.829610147754323,False,IRON
2,5,11,1,3,1,1,2,2,0,1,36,48,-4.411510714581844,False,IRON
3,3,6,0,0,0,0,1,3,1,1,20,30,-6.671395327085058,False,IRON
4,2,11,0,2,0,0,0,3,0,2,19,45,-12.843570878701065,False,IRON
5,2,9,0,2,0,0,1,2,2,0,22,32,-9.068831897959527,False,IRON
6,0,9,0,2,0,1,0,2,1,0,8,41,-18.13344879100122,False,IRON
7,3,4,0,0,0,0,2,1,0,2,42,18,8.968763957680366,True,IRON
8,4,9,0,3,0,0,0,4,0,2,33,35,-2.3620893514173673,False,IRON
9,5,11,0,2,0,1,1,4,0,1,33,50,-3.755613233535186,False,IRON
10,0,10,0,2,0,1,0,3,1,1,14,41,-13.259442487248538,False,IRON
11,8,7,1,1,2,0,2,3,1,1,43,36,0.8597033085527244,True,IRON
12,9,1,3,0,1,0,3,1,2,0,42,15,14.617672485013838,True,IRON
13,7,9,1,1,2,0,2,2,1,1,33,24,4.418730433526989,True,IRON
14,3,10,0,2,1,0,2,3,1,1,22,39,-8.711053813388027,False,IRON
15,9,0,1,0,1,0,3,1,1,1,43,16,13.57104526652563,True,IRON
16,7,9,0,2,2,1,3,4,1,1,48,62,-5.690710940990066,False,IRON
17,9,1,2,0,1,0,3,0,2,0,34,11,11.217376510610428,True,IRON
18,10,5,2,0,1,0,2,1,1,0,52,31,2.4117704758922613,True,IRON
19,2,10,0,2,0,1,0,4,1,1,12,30,-11.34433227654495,False,IRON
20,3,8,0,1,0,1,0,3,2,0,14,35,-9.670451083680287,False,IRON
21,3,10,0,2,0,0,1,3,0,2,37,46,-5.9843882276638425,False,IRON
22,3,9,0,2,0,1,0,4,0,2,12,38,-12.164464092717182,False,IRON
23,5,2,0,0,0,0,2,1,2,0,26,19,6.874526307908759,True,IRON
24,9,2,1,0,1,0,4,0,1,1,35,21,6.620049167934056,True,IRON
25,3,10,0,3,0,0,2,2,0,2,34,44,-3.728303876019737,False,IRON
26,4,9,0,1,0,1,0,4,1,0,26,42,-8.689850876410972,False,IRON
27,11,6,4,1,1,0,4,0,1,0,51,18,11.979996966241828,True,IRON
28,8,4,1,0,0,0,3,2,1,0,47,15,6.6129439588488275,True,IRON
29,2,7,0,0,0,1,0,3,0,1,21,31,-4.487915560197727,False,IRON
30,0,11,0,5,0,2,1,3,1,1,15,36,-7.242660957275767,False,IRON
31,0,11,0,2,0,0,0,3,0,1,20,44,-13.114594292445787,False,IRON
32,11,4,2,0,1,0,1,2,1,1,40,23,9.916324605629448,True,IRON
33,11,3,3,0,3,0,5,1,1,1,50,26,8.412222679448469,True,IRON
34,4,11,0,2,0,1,1,2,0,2,26,29,-1.0614238804732068,False,IRON
35,3,10,0,2,0,2,1,3,0,1,36,43,-5.340469831088768,False,IRON
36,5,9,0,1,1,1,1,4,0,2,23,37,-9.185000458747922,False,IRON
37,2,11,0,3,0,1,1,3,2,0,22,37,-8.359010724981786,False,IRON
38,11,4,2,0,2,0,4,1,1,1,41,34,2.5243216459204305,True,IRON
39,3,11,0,4,0,2,1,4,0,2,38,43,-1.6243553686457375,False,IRON
