,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,7,0,1,0,1,0,4,0,2,8,26,-13.932809676047846,False,BRONZE
1,4,11,0,6,0,1,2,4,0,2,35,40,-2.762448096628283,False,BRONZE
2,9,6,2,1,1,0,1,4,1,0,61,67,-5.349120079965715,True,BRONZE
3,11,5,3,0,0,0,3,0,1,0,39,34,0.3308065492132428,True,BRONZE
4,3,8,0,1,0,1,4,1,0,2,32,39,-3.583308404604317,False,BRONZE
5,1,11,0,3,0,0,0,2,0,2,18,41,-12.391255325417784,False,BRONZE
6,10,5,2,0,1,0,4,1,1,1,45,27,11.787178212760491,True,BRONZE
7,3,11,0,1,0,1,0,4,0,1,31,48,-6.990577458717766,False,BRONZE
8,3,6,0,1,0,1,0,4,0,0,22,36,-8.308796484753273,False,BRONZE
9,0,11,0,3,0,1,0,3,0,2,15,28,-7.98229742448126,False,BRONZE
10,5,10,0,2,0,2,3,3,0,1,29,30,-3.984714964063677,False,BRONZE
11,2,10,0,2,0,1,0,4,0,2,18,28,-3.2712180371028765,False,BRONZE
12,10,5,2,0,2,0,6,1,2,0,52,40,1.7234687496932963,True,BRONZE
13,8,5,1,0,1,0,2,2,0,2,37,32,8.972060243355841,True,BRONZE
14,9,10,3,2,0,2,2,5,0,2,44,64,-5.419670543974021,False,BRONZE
15,3,6,0,1,0,0,1,3,1,1,16,31,-10.864244443670763,False,BRONZE
16,9,2,2,0,0,0,2,0,0,1,45,21,13.622867267448463,True,BRONZE
17,8,7,1,1,0,2,1,5,0,1,41,51,-2.2196321136549813,False,BRONZE
18,4,5,0,1,0,0,0,4,1,0,29,45,-2.0149487564940465,False,BRONZE
19,5,10,0,2,0,1,1,3,1,0,6,43,-21.07890994522279,False,BRONZE
20,11,0,4,0,1,0,4,0,2,0,29,18,4.123934244921031,True,BRONZE
21,9,2,2,0,1,1,4,1,1,0,37,24,2.640601811875193,True,BRONZE
