,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,1,2,0,1,0,2,2,0,1,47,13,14.491918366327958,True,PLATINUM
1,6,9,0,2,0,1,2,3,0,2,41,45,-0.765626978599613,False,PLATINUM
2,11,3,4,0,1,0,1,3,2,0,51,37,6.405766874192011,True,PLATINUM
3,7,5,1,0,0,1,3,0,1,0,46,22,11.650588330306487,True,PLATINUM
4,4,9,0,3,0,2,1,3,2,0,29,37,-3.90467432671241,False,PLATINUM
5,3,9,0,2,0,0,0,4,0,2,26,33,0.4964184706474768,False,PLATINUM
6,9,2,2,0,0,1,2,1,2,0,39,24,5.705596422130931,True,PLATINUM
7,5,11,0,4,0,1,1,3,0,0,43,53,-5.454936899515374,False,PLATINUM
8,4,10,0,4,0,1,1,4,1,1,28,58,-10.7447927064077,False,PLATINUM
9,6,1,1,0,0,0,2,1,2,0,22,13,6.445941042903634,True,PLATINUM
10,3,5,0,0,0,1,1,2,0,1,17,35,-8.704553435850706,False,PLATINUM
11,8,4,2,0,0,0,2,2,0,2,40,32,1.0538820468913315,True,PLATINUM
12,10,3,2,0,0,0,3,0,2,0,34,14,12.797348215500463,True,PLATINUM
13,8,1,1,0,1,0,3,0,1,1,29,18,6.880077923362215,True,PLATINUM
14,0,10,0,2,0,0,1,2,0,2,31,37,-4.864955674277368,False,PLATINUM
15,11,6,4,1,2,1,4,2,2,0,33,36,-4.681602028368701,True,PLATINUM
16,4,2,2,0,0,0,0,0,0,0,78,90,-3.6399872811844673,True,PLATINUM
17,2,9,0,2,0,1,4,1,0,0,24,35,-2.2381276588234584,False,PLATINUM
18,4,11,0,3,0,1,3,1,1,0,20,37,-5.6415123098611275,False,PLATINUM
19,11,1,3,0,1,0,2,0,2,0,21,11,7.292252875124589,True,PLATINUM
20,8,3,2,0,1,0,4,0,1,1,30,14,9.333058716672575,True,PLATINUM
21,7,5,1,0,2,1,5,2,0,2,30,31,-0.4349454142755107,True,PLATINUM
22,4,4,0,0,0,0,4,1,1,1,28,23,4.289400366786545,True,PLATINUM
23,10,2,1,0,1,0,1,2,1,1,36,23,6.5275513430319165,True,PLATINUM
24,6,10,1,2,1,1,2,4,1,1,32,54,-5.357499326686636,False,PLATINUM
25,11,2,3,0,1,0,3,1,0,2,43,33,1.764830370928813,True,PLATINUM
26,2,11,0,3,0,0,2,2,1,0,30,47,-5.863906209824343,False,PLATINUM
27,3,11,0,5,1,1,1,5,0,1,53,62,-0.042768735721871565,False,PLATINUM
28,4,11,0,3,0,2,1,4,1,1,26,36,-4.813683495171638,False,PLATINUM
29,1,10,0,1,0,1,1,3,0,2,17,42,-15.161631667880723,False,PLATINUM
30,5,2,1,0,0,0,1,2,2,0,20,6,10.884015133848543,True,PLATINUM
