,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,8,1,0,1,1,2,3,1,1,51,43,4.224310883541108,True,SILVER
1,5,8,0,2,0,0,3,3,0,2,30,60,-9.621104556347838,False,SILVER
2,1,9,0,2,0,1,1,2,0,2,20,29,-1.5101204591550115,False,SILVER
3,11,5,3,0,1,1,3,4,2,0,50,61,1.0830874815317202,True,SILVER
4,11,2,3,0,1,0,4,0,1,1,32,13,13.784498476578182,True,SILVER
5,2,6,0,0,0,0,2,1,0,1,16,32,-8.196300276672574,False,SILVER
6,3,0,0,0,0,0,0,2,0,0,27,15,6.210861099310627,True,SILVER
7,11,9,5,2,2,0,4,1,1,1,42,40,1.4183526507879947,True,SILVER
8,2,8,0,1,0,0,1,3,0,1,21,31,-6.971401697648844,False,SILVER
9,9,4,2,0,1,1,4,1,1,1,51,39,2.9218805255839726,True,SILVER
10,2,10,0,1,0,0,0,3,0,2,21,40,-8.865782244642801,False,SILVER
11,3,8,0,1,0,0,2,3,0,1,29,37,-5.819620909850926,False,SILVER
12,11,5,5,1,1,1,4,2,1,0,46,41,-2.4708164257812584,True,SILVER
13,8,7,0,1,1,2,4,3,1,0,48,49,1.226651572984899,True,SILVER
14,1,11,0,3,0,0,1,2,0,1,28,44,-8.8691513928418,False,SILVER
15,2,9,0,1,0,1,1,4,0,1,33,46,-7.706494955422443,False,SILVER
16,0,5,0,0,0,1,0,2,0,1,13,26,-11.154624156787015,False,SILVER
17,5,8,0,2,0,2,0,4,0,1,26,51,-11.973673584114728,False,SILVER
18,10,2,2,0,1,0,3,0,2,0,38,29,0.3943330719366429,True,SILVER
19,10,3,2,0,1,0,3,1,1,1,58,34,8.072143633483421,True,SILVER
20,3,10,0,2,0,1,1,4,1,1,33,46,-1.58898584638996,False,SILVER
21,7,10,0,1,0,1,4,2,1,1,56,62,0.8102746147832889,False,SILVER
22,4,1,2,0,0,0,0,0,0,0,71,70,1.5168825876774576,True,SILVER
23,1,4,0,2,0,0,0,0,0,0,78,82,1.9397091049058588,False,SILVER
24,3,10,0,3,0,1,0,3,2,0,15,38,-15.44623159278413,False,SILVER
25,10,3,4,0,0,1,4,0,2,0,37,28,6.528443067454987,True,SILVER
26,10,0,4,0,2,0,3,2,2,0,43,38,-0.360726988525208,True,SILVER
27,7,1,2,0,0,0,4,0,2,0,32,14,14.160151500049977,True,SILVER
28,4,2,2,1,0,0,0,0,0,0,70,72,-0.5709484224189012,True,SILVER
29,4,1,2,0,0,0,0,0,0,0,96,59,3.1862531685188102,True,SILVER
