,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,9,0,1,0,1,0,4,0,2,21,44,-15.32945815750351,False,IRON
1,9,4,1,0,1,0,4,1,1,1,54,34,5.130586423772861,True,IRON
2,10,2,4,0,0,0,4,0,2,0,39,20,11.284398487642832,True,IRON
3,3,11,0,4,0,2,1,4,0,2,40,67,-5.483186476320938,False,IRON
4,1,11,0,3,0,1,0,4,0,2,18,44,-11.915255839375085,False,IRON
5,10,5,2,0,1,0,4,1,1,1,40,25,3.0493827804389113,True,IRON
6,2,3,0,0,0,0,2,1,0,2,23,29,-6.673786160175382,False,IRON
7,4,8,0,1,1,0,3,2,0,1,36,29,1.5530691463892552,True,IRON
8,10,5,3,0,2,0,3,2,1,0,52,36,7.164874630902496,True,IRON
9,3,7,0,1,0,1,0,4,0,2,27,42,-4.706125498265244,False,IRON
10,3,10,0,1,0,1,2,2,0,2,25,37,-3.1423184287370916,False,IRON
11,9,4,2,0,1,0,0,4,0,2,27,16,8.951855264643157,True,IRON
12,11,6,2,1,1,0,3,2,2,0,38,42,0.34591484482030666,True,IRON
13,1,10,0,2,0,0,0,2,1,1,12,18,-8.711809475114439,False,IRON
14,11,6,5,0,2,0,4,2,1,0,42,27,7.286868892927572,True,IRON
15,8,8,1,1,0,1,2,3,0,1,36,44,-1.1728817386080053,False,IRON
16,9,8,1,1,1,0,2,3,1,1,55,36,9.74265737276069,True,IRON
17,10,1,2,0,1,0,3,0,2,0,54,27,6.335315980955684,True,IRON
18,1,10,0,2,0,1,1,3,0,2,16,29,-9.123877985470806,False,IRON
19,11,2,3,0,1,0,4,1,2,0,37,24,6.848548576523768,True,IRON
20,9,7,1,1,1,2,4,2,1,0,48,44,1.2281475093219143,True,IRON
21,5,10,0,2,0,0,1,4,2,0,30,49,-7.185499906229573,False,IRON
22,5,7,0,2,0,0,3,1,0,1,22,26,-3.678861536878003,False,IRON
23,3,11,0,3,0,1,2,4,0,1,22,39,-5.287892117465219,False,IRON
24,0,10,0,2,0,0,1,2,0,2,10,27,-12.272892747124704,False,IRON
25,11,8,4,1,1,2,3,4,0,0,65,68,-2.2221886847695416,True,IRON
26,10,4,2,0,0,0,3,1,2,0,34,14,14.568763667731869,True,IRON
27,4,9,0,2,0,0,2,4,0,1,36,59,-6.438134823678887,False,IRON
28,11,6,3,1,0,0,4,1,0,2,54,31,6.477251788885951,True,IRON
29,9,5,2,0,0,0,3,1,2,0,32,40,-2.175945212365413,True,IRON
30,6,11,0,3,0,2,3,2,0,2,36,46,-5.381565066507861,False,IRON
31,6,10,0,3,0,1,1,4,1,1,19,62,-8.200047327316767,False,IRON
32,1,11,0,3,0,1,1,4,0,1,28,50,-9.660113826193175,False,IRON
33,10,4,2,0,1,0,4,1,1,0,35,16,12.577179288270493,True,IRON
34,2,8,0,1,0,1,2,2,1,1,17,37,-9.760013660681487,False,IRON
35,4,9,0,1,0,1,0,4,0,2,28,42,-8.298533843861556,False,IRON
36,3,10,0,2,0,1,1,2,0,0,17,31,-7.823306266335223,False,IRON
