,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,4,2,2,0,0,0,0,0,0,77,80,1.4988564300172413,False,BRONZE
1,4,3,3,4,0,0,0,0,0,0,71,99,-2.865539421836637,True,BRONZE
2,9,1,2,0,0,0,3,0,1,1,39,16,11.842599768259227,True,BRONZE
3,10,3,3,0,2,0,4,0,0,1,50,22,11.871628622875555,True,BRONZE
4,3,11,0,3,1,1,1,3,1,0,35,50,-0.8912362906837359,False,BRONZE
5,10,5,4,0,1,0,4,1,2,0,44,48,-2.12473596328676,True,BRONZE
6,4,9,0,1,0,2,0,4,0,2,18,46,-11.749111067458813,False,BRONZE
7,5,6,0,1,0,2,0,5,1,0,48,45,-1.992917961497298,False,BRONZE
8,8,5,1,2,1,1,3,2,2,0,37,33,1.651447289540414,True,BRONZE
9,11,5,2,0,1,1,3,2,2,0,44,42,3.3070985655883334,True,BRONZE
10,4,1,2,0,0,0,0,0,0,0,72,80,-1.6609456789895916,True,BRONZE
11,4,4,1,3,0,0,0,0,0,0,83,92,-2.379278348056971,True,BRONZE
12,1,3,0,2,0,0,0,0,0,0,59,76,-2.698742038317249,False,BRONZE
