,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,0,2,0,0,0,2,1,1,0,32,23,4.872056749130024,True,PLATINUM
1,3,10,0,2,0,1,0,3,1,0,18,44,-10.949493792052301,False,PLATINUM
2,8,7,1,1,2,0,3,1,1,1,48,34,3.7869176165313476,True,PLATINUM
3,11,1,2,0,1,0,2,1,1,0,26,19,4.251503889803672,True,PLATINUM
4,7,9,1,1,1,1,1,3,1,1,34,35,-2.3088916788275853,True,PLATINUM
5,4,10,0,2,0,2,1,4,1,1,23,41,-11.935541380942748,False,PLATINUM
6,3,10,0,2,0,1,1,2,0,1,26,46,-9.298562502143092,False,PLATINUM
7,10,3,2,0,2,0,2,1,1,1,38,26,1.0515569874493522,True,PLATINUM
8,4,9,0,2,0,1,2,4,0,2,42,41,-1.1040077354207796,False,PLATINUM
9,0,9,0,1,0,1,0,4,0,1,22,37,-5.702525371593559,False,PLATINUM
10,11,0,3,0,0,0,3,0,0,1,39,15,13.108436743187244,True,PLATINUM
11,11,2,3,0,2,0,2,3,1,1,48,36,3.89455634654027,True,PLATINUM
12,2,11,0,2,0,1,0,4,0,2,29,45,-2.54875577230672,False,PLATINUM
13,0,9,0,1,0,1,1,2,0,2,14,30,-10.874547223292936,False,PLATINUM
14,8,1,3,0,1,0,4,0,1,1,38,17,10.600774213863808,True,PLATINUM
15,6,1,0,0,1,0,3,0,1,0,37,11,11.946520323556719,True,PLATINUM
16,11,2,3,0,1,0,4,0,1,1,37,36,-0.6469569504482848,True,PLATINUM
17,10,3,3,0,1,0,3,0,2,0,41,34,1.8967392223002122,True,PLATINUM
18,9,1,1,0,1,0,3,0,0,0,44,24,7.529126581108862,True,PLATINUM
19,10,4,2,0,1,1,2,3,0,2,40,40,2.1750389823094807,True,PLATINUM
20,0,11,0,2,0,1,1,2,0,2,11,23,-7.949321987220692,False,PLATINUM
21,3,11,0,3,0,1,2,2,0,1,17,34,-6.439607837148337,False,PLATINUM
22,9,3,1,0,2,0,4,1,1,1,35,17,9.042300631015493,True,PLATINUM
23,8,1,1,0,2,0,3,1,1,1,23,13,11.379552605672075,True,PLATINUM
24,6,11,1,4,0,2,1,4,0,2,43,60,-2.9855121017365818,False,PLATINUM
25,9,2,1,0,1,0,3,0,1,0,35,29,0.04180015194164355,True,PLATINUM
26,9,3,2,0,1,0,3,0,1,0,38,21,11.198141415448497,True,PLATINUM
27,11,1,3,0,0,0,4,0,1,1,29,28,0.7024374303025382,True,PLATINUM
28,11,3,3,0,1,0,4,1,0,1,33,17,8.70866718277938,True,PLATINUM
29,9,1,2,0,0,0,4,0,1,1,39,14,13.141861871677023,True,PLATINUM
30,4,8,0,1,0,0,0,3,1,0,18,22,-5.461686990109996,False,PLATINUM
31,5,10,1,2,2,1,1,3,0,2,39,57,-4.840605579293765,False,PLATINUM
32,8,7,1,1,1,1,3,2,1,0,43,51,-1.6876364305426037,False,PLATINUM
33,9,2,2,0,1,0,3,1,1,0,26,14,9.868338968189725,True,PLATINUM
34,4,11,0,3,0,1,1,3,2,0,19,40,-10.284987387314452,False,PLATINUM
35,9,3,2,0,0,2,4,1,1,0,28,26,-2.962510789547345,True,PLATINUM
