,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,11,0,4,0,2,2,3,0,1,22,36,-9.569396736233877,False,IRON
1,2,10,0,2,0,0,0,3,1,1,19,41,-11.139096972937757,False,IRON
2,4,6,0,0,0,0,0,3,1,1,18,39,-7.7422643965504605,False,IRON
3,1,7,0,1,0,1,0,3,0,1,17,39,-13.320264901203238,False,IRON
4,3,11,0,2,0,1,1,4,0,1,32,60,-6.901745758091089,False,IRON
5,2,5,0,0,0,1,1,3,1,1,17,35,-14.288165622384831,False,IRON
6,4,2,1,1,0,0,0,0,0,0,43,51,-4.496798728368432,True,IRON
7,6,11,1,3,1,0,4,1,0,2,48,34,5.231238346377296,True,IRON
8,2,10,0,3,0,1,2,2,0,2,18,38,-12.615369028319797,False,IRON
9,5,10,0,2,0,0,2,2,0,2,52,64,-2.910885573376703,False,IRON
10,8,3,1,0,0,1,3,1,0,2,25,24,-0.0525153838601895,True,IRON
11,9,7,2,1,1,1,3,1,2,0,30,38,-3.383715009604842,True,IRON
12,9,8,2,2,1,1,2,3,1,0,23,50,-10.215496426240215,False,IRON
13,2,10,0,2,0,1,1,2,1,0,20,53,-11.500388407830862,False,IRON
14,1,10,0,1,0,1,0,4,1,1,18,32,-9.57786345361361,False,IRON
15,8,7,1,1,1,0,3,2,1,1,52,37,5.7318085633834315,True,IRON
16,9,7,2,0,2,0,3,3,0,2,47,48,1.2391767929295199,True,IRON
17,11,1,3,0,1,0,3,1,2,0,28,19,3.7340686625606523,True,IRON
18,10,4,2,0,1,0,2,2,1,0,49,34,5.8218156023796865,True,IRON
19,9,4,2,0,1,0,4,0,0,1,21,20,5.251472775878419,True,IRON
20,3,11,0,3,0,1,0,3,1,1,22,51,-11.34333680422322,False,IRON
21,4,11,0,4,0,2,2,3,0,2,35,32,5.578663292311354,False,IRON
22,9,2,2,0,2,0,4,1,1,0,31,26,-0.525397280663185,True,IRON
23,7,10,2,1,0,1,0,5,0,1,25,51,-10.448377585194478,False,IRON
