,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,0,4,0,1,0,3,0,1,0,38,26,5.821814932842891,True,SILVER
1,6,8,0,1,1,1,3,2,1,0,34,52,-5.241444144104193,False,SILVER
2,3,9,0,2,0,1,0,2,1,1,19,27,-6.792262182503059,False,SILVER
3,2,8,0,1,0,1,0,5,0,1,24,38,-6.309519966190685,False,SILVER
4,1,9,0,1,0,1,0,4,1,1,31,45,-6.964594946634726,False,SILVER
5,6,1,0,0,1,0,3,0,1,0,29,20,6.061044564242586,True,SILVER
6,6,10,0,2,1,1,3,3,1,1,33,52,-5.087445806826416,False,SILVER
7,7,6,1,1,2,0,3,1,0,2,44,39,5.68742209852288,True,SILVER
8,4,4,0,0,0,1,0,3,2,0,20,35,-6.209953144171472,False,SILVER
9,11,1,3,0,1,0,4,0,1,0,45,16,14.797325316882883,True,SILVER
10,3,10,0,2,0,1,1,3,1,0,25,44,-7.609187464346988,False,SILVER
11,6,8,0,1,0,2,1,5,1,0,30,46,-6.056003966672058,False,SILVER
12,11,2,4,0,1,0,2,1,1,0,40,20,8.980230421629749,True,SILVER
13,7,8,1,2,0,2,2,3,0,1,39,68,-10.190185449235166,False,SILVER
14,3,9,0,3,0,1,0,4,1,1,19,36,-8.24518751294876,False,SILVER
15,6,11,1,4,0,1,2,2,0,2,44,42,-1.3253325815832824,False,SILVER
16,2,5,0,0,0,1,1,2,0,2,14,30,-10.98077940401059,False,SILVER
17,10,7,2,1,1,1,4,2,0,1,55,48,1.6365821111344232,True,SILVER
18,7,6,2,1,1,0,3,0,2,0,43,34,2.93299716539493,True,SILVER
19,10,3,2,0,0,0,3,1,1,1,58,36,5.8625554398600315,True,SILVER
20,11,11,7,2,1,1,1,5,0,2,44,56,-4.650629765012667,False,SILVER
21,4,8,0,2,1,0,3,1,1,1,37,34,-0.4060558714306808,False,SILVER
22,8,4,2,0,0,2,4,1,2,0,64,51,5.545196692647707,True,SILVER
23,9,3,3,0,1,0,5,0,1,0,50,32,5.524313111241931,True,SILVER
24,7,2,0,0,1,0,3,0,2,0,34,18,9.468932735238084,True,SILVER
25,7,7,2,1,1,1,5,0,2,0,44,37,3.463027182523028,True,SILVER
26,4,4,0,0,1,0,2,1,2,0,40,19,11.542334729386269,True,SILVER
27,6,3,1,0,0,1,1,4,1,0,32,36,-2.7203992227795055,False,SILVER
28,7,7,1,0,1,0,3,1,0,0,41,27,10.077360931894155,True,SILVER
29,4,11,0,3,0,1,1,3,1,1,19,40,-8.019053033092838,False,SILVER
30,3,10,0,3,0,1,0,4,1,1,22,41,-7.95862550578768,False,SILVER
