,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,4,0,2,0,0,0,0,0,0,46,68,-2.886775049807852,False,SILVER
1,4,1,2,0,0,0,0,0,0,0,76,72,1.2934080257324112,True,SILVER
2,1,4,0,1,0,0,0,0,0,0,68,79,-4.394273760803003,False,SILVER
3,1,4,0,2,0,0,0,0,0,0,49,65,1.0030087730774824,False,SILVER
4,1,4,0,2,0,0,0,0,0,0,81,68,3.1561323096400145,False,SILVER
5,4,3,2,2,0,0,0,0,0,0,44,47,1.8586621216493953,True,SILVER
6,4,3,2,2,0,0,0,0,0,0,69,63,0.9519435315726099,True,SILVER
7,1,4,0,2,0,0,0,0,0,0,72,78,-2.830099517329735,False,SILVER
8,7,9,0,2,0,1,1,4,0,1,37,55,-4.83813868051859,False,SILVER
9,8,8,1,2,0,3,2,4,2,0,27,31,-8.100439787870961,False,SILVER
