,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,7,3,1,3,0,3,3,2,0,39,32,6.052512388435375,True,GOLD
1,8,11,0,3,0,2,4,1,1,1,38,50,-6.1510797607758505,False,GOLD
2,11,4,3,0,1,0,2,1,2,0,40,27,2.660630916407122,True,GOLD
3,11,3,3,0,1,1,2,4,1,0,33,27,-5.286104762873272,True,GOLD
4,10,9,2,2,2,0,1,4,0,1,53,56,3.469600239043281,True,GOLD
5,3,5,0,0,1,0,3,1,1,1,26,19,3.8396042867020483,True,GOLD
6,10,1,2,0,1,0,3,0,1,1,39,21,8.304383643313521,True,GOLD
7,10,3,1,0,1,0,1,1,1,1,51,22,15.262392390497247,True,GOLD
8,3,7,0,2,1,0,1,3,0,1,28,43,-5.782868957548267,False,GOLD
9,7,3,1,0,1,0,2,1,1,1,30,12,11.706129364467845,True,GOLD
10,3,2,0,0,0,0,0,3,1,1,23,29,-4.287504481404021,False,GOLD
11,10,3,2,0,1,0,2,1,1,1,41,28,6.415210458940514,True,GOLD
12,6,2,0,0,0,0,3,1,2,0,36,25,8.67338419260416,True,GOLD
13,11,4,4,0,1,0,2,2,0,2,53,41,6.443536380619477,True,GOLD
14,11,6,5,0,3,0,3,3,1,1,40,26,10.914819165306042,True,GOLD
15,5,11,0,1,1,1,1,4,1,0,34,56,-8.988462462335008,False,GOLD
16,2,8,0,1,0,0,1,2,0,2,21,35,-6.1689496498074945,False,GOLD
17,11,4,2,0,1,1,5,0,0,1,39,24,4.9392720472156455,True,GOLD
18,3,11,0,3,0,1,1,3,1,1,25,28,-0.842369840142986,False,GOLD
19,8,8,1,0,0,2,3,1,2,0,44,31,8.386882994241027,True,GOLD
20,6,10,0,2,0,1,2,4,0,2,43,58,-2.8905796573152216,False,GOLD
21,8,2,2,0,0,0,3,1,1,0,48,32,8.620002553644376,True,GOLD
22,11,4,3,0,1,0,5,0,1,0,34,24,0.4943680753603914,True,GOLD
23,4,9,0,1,1,1,3,2,0,2,36,64,-11.54693108367325,False,GOLD
24,11,3,3,0,1,0,4,0,0,1,36,21,7.461516599775031,True,GOLD
25,4,8,0,2,0,1,2,2,2,0,22,30,-5.4088153680296145,False,GOLD
26,10,2,2,0,0,0,3,1,1,1,30,11,15.937350196035403,True,GOLD
27,5,1,0,0,0,0,4,0,1,0,43,29,5.760313130638359,True,GOLD
28,8,6,2,0,2,0,1,4,1,1,44,39,-0.6622891924830725,True,GOLD
29,0,11,0,3,0,1,1,2,0,2,17,40,-11.137601733930019,False,GOLD
30,3,10,0,1,0,2,2,3,1,1,28,34,-3.4380060643354255,False,GOLD
31,0,10,0,1,0,0,0,3,0,1,17,47,-14.46569356325097,False,GOLD
32,10,4,3,0,1,0,3,2,1,0,51,48,-2.319200396727261,True,GOLD
33,10,4,3,0,1,0,2,3,2,0,40,25,7.001717626452276,True,GOLD
34,3,9,0,2,0,0,0,5,2,0,24,51,-12.39079314464027,False,GOLD
35,2,10,0,2,0,1,1,3,1,1,21,45,-7.729407931913343,False,GOLD
36,5,10,0,2,0,1,0,4,0,2,21,49,-13.175137195387727,False,GOLD
37,0,11,0,3,0,1,2,1,1,1,20,32,-4.744189606270396,False,GOLD
