,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,1,1,0,0,0,3,0,1,1,37,20,8.945946463781546,True,IRON
1,2,10,0,2,0,1,2,2,0,1,24,29,-6.749150645696503,False,IRON
2,5,8,0,3,0,1,1,3,1,1,31,55,-7.387376319218475,False,IRON
3,8,3,1,0,1,0,1,2,1,1,45,31,6.73403312545291,True,IRON
4,11,2,3,0,1,0,2,1,0,2,39,27,10.222537511721889,True,IRON
5,3,10,0,2,0,1,1,4,1,0,39,43,-5.652905861933718,False,IRON
6,3,7,0,1,0,1,0,4,2,0,18,31,-5.655347313278554,False,IRON
7,6,11,1,5,0,1,2,2,1,1,30,36,-5.476251163773185,False,IRON
8,8,5,2,0,2,0,3,2,0,2,37,27,8.3609852707594,True,IRON
9,6,11,0,5,0,2,3,3,1,1,57,60,-0.215524192788763,False,IRON
10,2,11,0,3,0,0,0,3,0,0,9,33,-14.573486098360853,False,IRON
11,10,2,2,0,0,0,4,0,0,1,50,36,7.978131990679529,True,IRON
12,3,11,0,4,0,1,0,4,1,1,25,30,1.3710486063392224,False,IRON
13,7,11,0,4,2,1,4,2,0,1,49,59,0.5377103596538007,False,IRON
14,3,5,0,0,0,0,1,3,0,1,22,30,-5.170323029275444,False,IRON
15,1,9,0,2,0,1,1,3,1,0,30,24,0.4938542270777191,False,IRON
16,7,11,1,3,1,0,3,2,0,1,60,33,6.313986027642365,False,IRON
17,6,11,1,4,0,3,2,4,0,1,64,67,-0.3164735948598505,False,IRON
18,11,2,4,0,1,0,4,1,2,0,49,34,4.162981730283903,True,IRON
19,7,10,0,3,0,2,3,3,1,1,30,55,-11.446038435604379,False,IRON
20,8,2,2,0,1,0,1,3,2,0,46,20,14.27077360396315,True,IRON
21,5,8,0,1,0,1,2,2,0,2,26,48,-11.470435551693164,False,IRON
22,9,8,1,0,1,1,4,2,0,1,63,42,5.041078216061621,True,IRON
23,2,10,0,2,0,0,0,3,0,2,24,31,-0.1319587733945795,False,IRON
24,3,11,0,6,0,1,2,3,1,1,39,43,1.2957134960288599,False,IRON
25,10,3,2,0,1,0,3,1,0,1,48,26,10.015916712203364,True,IRON
26,3,11,0,3,0,1,0,4,0,1,32,57,-9.149112151638072,False,IRON
27,7,9,0,2,0,1,2,4,1,0,28,52,-7.267351171487427,False,IRON
28,10,7,2,1,1,1,1,4,2,0,46,53,0.6849150359373724,True,IRON
29,7,3,1,0,0,0,0,4,1,0,35,27,3.355319370742123,True,IRON
30,7,4,0,0,1,0,2,0,2,0,28,22,8.28979544490322,True,IRON
31,5,8,0,1,0,2,2,3,1,1,37,45,-2.776124677394492,False,IRON
32,10,2,2,0,1,0,3,0,1,1,24,9,9.818442088558953,True,IRON
33,4,10,0,3,1,1,4,2,2,0,51,57,-6.810311806810617,False,IRON
34,5,9,0,2,0,0,1,3,0,2,32,47,-8.153059995347483,False,IRON
