,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,2,4,0,1,0,3,0,1,1,42,19,11.321273298304828,True,GOLD
1,11,4,2,0,0,0,2,1,2,0,41,17,15.770901552882783,True,GOLD
2,9,0,2,0,0,0,1,1,1,1,38,15,10.367796723003877,True,GOLD
3,8,10,2,1,1,1,4,3,0,2,70,55,5.529136235900346,False,GOLD
4,7,10,1,2,0,2,1,4,0,1,47,56,-5.718633260334997,False,GOLD
5,8,11,1,3,2,0,4,1,0,2,47,26,7.89573061374211,True,GOLD
6,10,2,4,0,0,0,3,0,1,0,25,15,11.441373741782002,True,GOLD
7,4,10,0,3,1,1,3,3,1,1,37,45,1.3946616043248454,False,GOLD
8,10,4,3,0,1,0,4,0,1,0,40,26,6.95481132871101,True,GOLD
9,9,5,2,1,0,1,2,1,0,1,41,40,4.428121002371405,True,GOLD
10,5,8,0,2,0,1,0,3,1,0,29,44,-0.1452199012087192,False,GOLD
11,11,10,4,5,0,2,2,3,0,2,44,59,-7.7172749485932215,True,GOLD
12,8,8,1,3,2,0,4,1,1,1,51,52,2.8677614743711004,True,GOLD
13,11,2,3,0,1,0,3,0,2,0,35,24,1.5296591929430647,True,GOLD
14,8,3,2,0,0,0,3,1,0,2,45,16,14.021220847119551,True,GOLD
15,10,4,2,0,1,1,3,2,1,1,53,45,3.0320317113897772,True,GOLD
16,6,2,0,0,1,0,3,1,1,0,45,23,9.982793604313635,True,GOLD
17,9,7,3,1,2,0,4,1,2,0,42,57,-10.740306143260135,False,GOLD
18,3,11,0,4,0,0,0,3,0,2,19,33,-4.469547017402185,False,GOLD
19,1,9,0,2,0,0,0,2,0,2,15,24,-7.169231015725408,False,GOLD
20,3,9,0,3,0,0,0,3,0,0,19,36,-9.395342440228333,False,GOLD
21,7,11,1,2,1,1,3,3,0,2,47,41,3.8819756528583156,False,GOLD
22,10,1,2,0,0,0,1,2,2,0,47,31,9.693889778689865,True,GOLD
23,4,10,0,1,0,0,0,4,0,1,35,51,-9.950504398233235,False,GOLD
24,3,11,0,3,0,2,1,4,0,1,23,42,-10.439961255930541,False,GOLD
25,4,10,0,2,0,1,1,4,0,1,37,52,-8.751091939012596,False,GOLD
26,6,9,0,2,0,2,3,3,2,0,37,50,-1.7566329772940392,False,GOLD
27,4,7,0,1,0,1,3,2,0,0,35,51,-6.089366500231883,False,GOLD
28,3,7,0,1,0,1,2,1,0,1,28,34,-2.253702571186409,False,GOLD
29,11,0,3,0,1,0,4,0,1,0,39,23,10.696363985581499,True,GOLD
30,11,2,3,0,2,0,5,0,2,0,34,24,8.378824618972132,True,GOLD
31,9,3,2,0,0,1,3,1,0,0,39,30,4.450484887604716,True,GOLD
32,10,7,2,1,1,0,1,4,1,0,55,44,1.758365323857852,True,GOLD
33,10,2,2,0,0,0,2,2,2,0,34,21,7.3854650108619495,True,GOLD
