,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,7,1,1,1,0,3,0,2,0,28,18,7.53478568017762,False,GOLD
1,1,11,0,3,1,0,1,3,0,2,13,36,-11.457761769583769,False,GOLD
2,10,3,3,0,1,0,1,3,2,0,48,35,5.739394395986459,True,GOLD
3,11,3,4,0,2,0,3,3,2,0,45,47,-0.05706380247641363,True,GOLD
4,10,7,3,1,1,2,1,4,2,0,31,37,-5.594871587611195,False,GOLD
5,9,3,1,0,1,0,3,0,1,0,26,29,-0.2757965317662965,True,GOLD
6,3,9,0,2,0,1,0,5,0,1,24,47,-13.0562089507169,False,GOLD
7,2,7,0,1,0,0,1,2,1,1,14,26,-6.5218589754350305,False,GOLD
8,9,7,2,0,1,1,4,0,0,1,35,16,10.185358571243732,True,GOLD
9,10,1,2,0,1,0,4,0,2,0,36,23,8.11919493085415,True,GOLD
10,10,2,1,0,0,0,2,2,0,2,43,31,6.6978306658533455,True,GOLD
11,2,7,0,1,0,0,2,1,1,1,17,37,-13.675154825319112,False,GOLD
12,9,6,2,0,1,1,3,1,1,1,45,42,3.547472396460229,True,GOLD
13,8,7,3,3,2,0,3,3,2,0,50,56,-3.350771515430189,False,GOLD
14,4,11,0,3,0,3,3,2,0,1,47,46,-0.5191528210060241,False,GOLD
15,6,6,2,1,1,0,4,1,0,2,55,44,2.2170972656429058,False,GOLD
16,8,0,2,0,1,0,4,0,2,0,41,19,11.595001887808678,True,GOLD
17,6,9,1,1,0,2,3,3,2,0,39,40,-0.9729304303484554,False,GOLD
18,4,10,0,2,0,1,0,4,1,1,27,49,-11.034970325917932,False,GOLD
19,9,7,1,1,0,1,3,1,1,1,32,44,-6.461179174526549,False,GOLD
20,3,9,0,2,0,1,1,3,1,0,27,41,-6.266381850062686,False,GOLD
21,3,9,0,1,0,1,2,2,1,1,16,36,-13.59112966588679,False,GOLD
22,11,3,3,0,1,0,3,1,1,1,29,20,7.077660786272816,True,GOLD
23,3,9,0,1,0,1,0,4,1,0,18,34,-9.209435079180388,False,GOLD
24,11,1,4,0,1,0,1,3,1,0,38,16,5.999019903901029,True,GOLD
25,2,11,0,3,0,1,0,3,0,2,22,46,-8.205811300793705,False,GOLD
26,4,10,0,2,0,1,2,3,2,0,29,47,-7.536107028727102,False,GOLD
27,2,11,0,4,0,1,1,3,0,2,29,44,-7.007991931447727,False,GOLD
28,11,3,4,0,2,0,4,0,0,1,37,25,8.490914468277467,True,GOLD
29,10,2,2,0,1,0,2,2,2,0,17,9,7.240626159787382,True,GOLD
30,7,2,1,0,1,0,1,2,0,1,45,33,4.54954295824659,True,GOLD
31,10,4,1,0,1,1,4,1,0,2,40,34,1.8734539476940384,True,GOLD
32,10,4,2,0,1,0,4,0,2,0,49,26,10.021612349121135,True,GOLD
33,11,0,3,0,1,0,3,0,1,1,39,21,9.83621110009559,True,GOLD
34,9,3,3,0,2,0,4,2,1,1,39,33,0.14021328191542182,True,GOLD
35,10,3,2,0,1,0,4,0,0,2,35,25,6.769943902019257,True,GOLD
36,2,9,0,2,0,1,1,3,0,2,14,36,-11.064886936974531,False,GOLD
37,5,7,0,1,0,0,1,3,2,0,30,49,-7.868795494134218,False,GOLD
38,8,9,1,1,1,1,3,4,2,0,43,53,-2.2193133054574474,False,GOLD
