,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,8,0,1,1,1,3,2,2,0,22,32,-5.1489841356240476,False,DIAMOND
1,0,11,0,3,0,1,1,2,1,1,23,35,-5.80408155698769,False,DIAMOND
2,2,10,0,2,0,1,2,1,1,1,31,40,-5.214676630198554,False,DIAMOND
3,10,4,2,0,2,0,4,1,2,0,44,28,4.110539624510878,True,DIAMOND
4,9,1,1,0,2,0,4,1,2,0,34,25,5.122745251629873,True,DIAMOND
5,10,3,2,0,1,0,3,1,0,2,32,16,7.315792148052807,True,DIAMOND
6,5,5,2,1,2,1,4,2,1,1,62,56,0.7738422046666358,True,DIAMOND
7,11,1,3,0,0,0,3,0,2,0,45,12,14.818500417248174,True,DIAMOND
8,7,3,1,0,1,0,2,1,0,2,34,20,9.853805820740583,True,DIAMOND
9,2,7,0,1,0,0,2,2,1,1,14,33,-12.719860411015752,False,DIAMOND
10,11,1,4,0,2,0,4,1,2,0,32,19,8.503343950871091,True,DIAMOND
11,8,7,1,1,0,2,3,2,2,0,44,46,-5.476215000726576,False,DIAMOND
12,8,4,1,0,1,0,3,1,2,0,36,24,10.426062107486906,True,DIAMOND
13,5,10,1,1,0,2,2,4,0,2,26,32,-5.596988020159387,False,DIAMOND
14,1,11,0,3,0,1,0,4,1,1,16,34,-11.287580749228432,False,DIAMOND
15,4,9,0,3,0,1,2,2,1,1,25,33,-0.08236688127656322,False,DIAMOND
16,8,5,1,0,0,1,0,4,1,1,23,34,-3.831037748118071,True,DIAMOND
17,5,11,0,2,0,1,1,4,2,0,21,34,-10.281423773599194,False,DIAMOND
18,5,9,0,1,0,2,0,4,2,0,26,46,-9.215511779585754,False,DIAMOND
19,9,3,1,0,1,0,4,0,0,2,27,13,11.252247774643664,True,DIAMOND
20,3,9,0,3,2,0,2,3,1,1,25,37,-1.6092355703192922,False,DIAMOND
21,2,10,0,2,0,1,2,2,1,1,19,37,-8.373522566422636,False,DIAMOND
22,1,10,0,1,0,1,1,2,0,2,18,35,-6.510885635073556,False,DIAMOND
23,3,10,0,1,0,2,4,1,0,2,25,36,-3.2954070096988346,False,DIAMOND
24,10,6,2,0,2,0,2,2,1,1,35,21,4.742214725526686,True,DIAMOND
25,2,10,0,3,0,2,0,4,0,2,29,48,-9.297986500506667,False,DIAMOND
26,1,11,0,3,0,1,1,3,1,0,16,35,-10.72142491767032,False,DIAMOND
27,8,4,1,0,1,0,4,0,1,1,28,20,4.1387089286670005,True,DIAMOND
28,0,10,0,4,0,1,0,3,0,2,21,39,-9.168179216452842,False,DIAMOND
29,9,8,2,2,3,0,4,2,0,2,44,36,1.5558491268992896,True,DIAMOND
30,2,8,0,1,0,1,1,3,1,1,31,41,-5.252012283325655,False,DIAMOND
31,3,11,0,2,0,1,0,4,0,2,17,35,-14.355992609496795,False,DIAMOND
32,9,1,2,0,2,0,3,0,0,2,30,19,6.168804588234458,True,DIAMOND
33,9,2,2,0,1,0,3,2,2,0,30,20,9.917901823626906,True,DIAMOND
34,10,6,2,0,2,0,3,2,1,1,47,28,11.997070580685104,True,DIAMOND
35,8,4,1,0,1,0,2,1,0,1,34,17,8.93769003504545,True,DIAMOND
36,2,10,0,2,1,0,0,4,2,0,25,55,-10.348622065105467,False,DIAMOND
37,10,1,2,0,1,0,3,1,2,0,34,14,8.33267736214701,True,DIAMOND
