,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,10,0,3,0,1,3,2,0,2,38,39,-0.5847161583201554,False,CHALLENGER
1,1,8,0,1,0,1,0,4,0,2,18,31,-8.537771266811134,False,CHALLENGER
2,3,11,0,4,1,1,2,3,1,1,30,41,-2.2510195862817852,False,CHALLENGER
3,9,4,1,0,2,0,4,1,1,0,37,34,0.49328346726244376,True,CHALLENGER
4,5,11,0,3,1,1,4,2,0,1,49,53,3.538732222786443,False,CHALLENGER
5,2,9,0,1,0,1,1,1,0,2,24,34,-5.414385126487964,False,CHALLENGER
6,7,1,1,0,1,0,4,0,1,1,32,21,6.460023249602223,True,CHALLENGER
7,10,2,2,0,1,0,2,0,0,2,38,24,4.761810925420129,True,CHALLENGER
8,2,8,0,1,1,0,1,2,1,1,28,37,-6.320819452058359,False,CHALLENGER
9,3,11,0,2,1,1,2,2,0,2,37,37,0.10279374184950285,False,CHALLENGER
10,5,8,0,1,0,2,3,1,1,1,34,35,-1.4930095205332705,False,CHALLENGER
11,7,8,0,1,0,1,1,2,2,0,29,35,-2.306641425540903,False,CHALLENGER
12,8,3,1,0,0,1,2,1,2,0,41,29,4.746506777242452,True,CHALLENGER
13,11,3,2,0,1,0,2,1,2,0,40,29,6.793228005645744,True,CHALLENGER
14,4,9,0,2,0,2,1,4,2,0,29,40,-4.388102377266783,False,CHALLENGER
15,10,4,2,0,2,0,2,2,0,2,39,20,10.294815392109534,True,CHALLENGER
16,11,2,3,0,1,0,2,2,2,0,30,20,6.5009651657991085,True,CHALLENGER
17,10,4,2,0,2,0,2,2,0,2,40,28,6.109032615195517,True,CHALLENGER
18,2,10,0,2,0,1,0,3,1,1,22,36,-3.557401939496877,False,CHALLENGER
19,5,8,0,1,0,2,2,3,2,0,24,25,-1.2414972066274927,False,CHALLENGER
20,3,9,0,1,0,1,1,3,1,1,16,44,-12.671834457725573,False,CHALLENGER
21,4,9,0,2,0,2,2,3,2,0,28,32,-5.919381353865312,False,CHALLENGER
22,9,4,2,0,1,0,1,2,1,1,36,29,8.194888920538737,True,CHALLENGER
23,11,8,6,2,3,1,4,3,2,0,32,28,3.456513111961648,True,CHALLENGER
24,8,6,1,0,0,2,3,1,1,1,36,41,-1.5334268732932088,True,CHALLENGER
25,3,6,0,1,0,1,2,1,2,0,32,35,-0.9517861286638123,False,CHALLENGER
26,6,4,1,0,1,0,3,1,1,1,42,30,4.698758427358307,True,CHALLENGER
27,3,10,0,2,1,0,2,2,0,2,21,34,-7.581016277379987,False,CHALLENGER
28,8,2,1,0,1,0,0,3,2,0,33,36,1.4341229910936732,True,CHALLENGER
29,1,9,0,2,1,0,1,2,0,2,15,37,-10.480494736199852,False,CHALLENGER
