,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,10,3,2,0,1,1,6,0,0,56,66,-2.4597774123232767,False,IRON
1,9,9,1,2,0,1,4,1,0,1,45,38,1.9046388962532674,True,IRON
2,9,2,2,0,1,0,3,1,2,0,39,9,18.63330432799759,True,IRON
3,2,11,0,3,0,1,0,5,0,2,23,31,-5.8440650278938975,False,IRON
4,4,10,0,2,0,2,2,3,1,1,50,48,1.0214566885496978,False,IRON
5,1,11,0,3,0,1,0,4,1,1,24,51,-9.73790660307521,False,IRON
6,3,9,0,2,0,1,2,3,1,1,27,34,-8.884608159256771,False,IRON
7,0,11,0,1,0,1,0,3,1,1,12,25,-5.582316596752982,False,IRON
8,7,5,1,1,0,0,3,2,0,1,41,22,3.224356314984121,True,IRON
9,1,9,0,2,0,1,3,2,1,0,20,27,-6.647929773201959,False,IRON
10,10,0,2,0,0,0,3,0,1,0,52,15,16.410166823954622,True,IRON
11,3,11,0,4,0,1,0,4,2,0,34,37,2.5615001263085233,False,IRON
12,4,9,0,1,0,2,4,2,0,1,40,46,-0.705183659097905,False,IRON
13,5,11,0,3,0,2,0,5,0,2,33,55,-7.452178640171184,False,IRON
14,7,0,1,0,0,0,3,0,1,0,31,22,5.407954388258805,True,IRON
15,2,10,0,3,0,1,1,3,0,2,32,38,-4.22914974512112,False,IRON
16,4,8,0,2,0,1,1,2,0,1,20,38,-7.824293088975658,False,IRON
17,0,11,0,3,0,1,0,4,0,2,26,46,-8.223550653577483,False,IRON
18,11,3,3,0,1,0,4,0,1,0,44,33,6.234789908005801,True,IRON
19,10,7,5,1,2,1,4,3,1,1,46,54,-3.3960603692603186,True,IRON
20,10,3,3,0,1,0,4,3,0,2,47,40,1.2505129743217935,True,IRON
21,6,8,0,1,1,1,1,5,1,1,37,46,-4.786294666660339,False,IRON
22,4,11,0,3,1,1,2,3,0,2,50,53,1.0283891624247943,False,IRON
23,9,6,1,0,1,0,4,1,0,2,53,36,5.279736914826458,True,IRON
24,8,6,1,0,0,2,2,3,0,2,53,41,4.618870195676223,True,IRON
25,10,4,2,0,0,0,1,2,1,1,46,34,1.0789418991423219,True,IRON
26,0,9,0,1,0,0,0,3,0,2,8,26,-18.80829144017933,False,IRON
27,9,6,3,0,2,0,4,0,1,0,47,25,5.740559930914522,True,IRON
28,1,7,0,1,0,0,0,3,0,1,17,33,-10.164619233152266,False,IRON
29,9,3,2,0,1,0,2,2,1,0,45,21,10.440466376587963,True,IRON
30,2,8,0,2,0,0,2,2,0,2,23,41,-7.133379685165693,False,IRON
31,3,8,0,1,0,1,2,1,1,1,21,41,-6.064787810175858,False,IRON
32,9,2,1,0,0,0,3,0,1,0,30,22,5.792857725078839,True,IRON
33,11,5,3,1,2,0,5,1,0,1,45,28,4.55378542154272,True,IRON
34,5,2,0,0,0,0,2,0,0,2,28,12,8.66553315793729,True,IRON
35,4,11,0,2,0,1,2,3,1,1,38,39,-0.755420604887945,False,IRON
36,9,8,2,1,1,0,3,1,0,2,35,29,0.06037876693082467,True,IRON
37,1,11,0,3,0,1,0,3,0,2,9,25,-11.173770976290257,False,IRON
38,6,9,0,2,0,0,4,0,0,1,39,41,4.404576497876221,False,IRON
39,10,7,3,0,1,0,3,3,2,0,66,59,-0.5533533656268617,True,IRON
