,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,3,1,0,1,5,1,0,39,44,-1.3781865632583674,False,CHALLENGER
1,10,4,1,0,1,0,1,3,0,1,42,25,10.21393146177433,True,CHALLENGER
2,4,10,0,2,0,1,1,2,0,1,23,41,-6.081177064800578,False,CHALLENGER
3,2,4,1,2,0,0,0,0,0,0,71,91,-5.057606902379916,False,CHALLENGER
4,10,2,2,0,1,0,3,1,0,2,37,20,7.435341874490128,True,CHALLENGER
5,8,10,3,2,0,2,1,3,0,2,25,42,-4.847796837453444,False,CHALLENGER
6,8,3,1,0,1,0,4,0,0,2,33,14,10.508198953948835,True,CHALLENGER
7,7,8,1,1,1,1,4,0,1,1,30,29,2.2393066474320875,True,CHALLENGER
8,9,9,4,1,3,0,1,4,2,0,49,68,-10.321876735727422,False,CHALLENGER
9,8,5,1,1,1,1,2,2,1,0,39,27,6.112616961174886,True,CHALLENGER
10,1,11,0,1,0,1,0,4,0,2,26,33,-0.7492616529113079,False,CHALLENGER
11,6,8,0,1,0,1,1,3,1,1,26,38,-4.39512560853079,False,CHALLENGER
12,3,9,0,2,0,1,0,4,0,2,24,39,-7.249837428273096,False,CHALLENGER
13,2,8,0,0,0,1,2,1,2,0,17,31,-9.322286706011354,False,CHALLENGER
14,4,3,3,2,0,0,0,0,0,0,77,78,-0.47573051191291427,True,CHALLENGER
15,10,2,1,0,1,0,3,0,2,0,30,19,3.687551853632513,True,CHALLENGER
16,4,4,2,3,0,0,0,0,0,0,105,99,0.5821702536737732,True,CHALLENGER
17,1,5,0,1,0,0,0,4,2,0,13,27,-10.567597850925203,False,CHALLENGER
18,7,7,1,0,1,1,1,2,0,2,40,37,4.785240710412715,True,CHALLENGER
