,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,7,1,2,1,1,3,2,1,0,38,40,0.33280438028981507,True,CHALLENGER
1,10,0,2,0,1,0,2,1,2,0,30,24,1.5253965898511623,True,CHALLENGER
2,11,3,2,0,1,0,3,0,1,0,37,16,11.776167542781835,True,CHALLENGER
3,7,4,1,0,1,0,2,1,0,2,34,15,12.223840985162866,True,CHALLENGER
4,5,11,1,5,2,0,5,1,1,1,39,18,10.088628757319867,False,CHALLENGER
5,9,2,2,0,1,0,3,1,0,2,32,20,3.699945992376705,True,CHALLENGER
6,9,5,3,0,1,0,2,1,2,0,34,19,10.14790997833979,True,CHALLENGER
7,2,10,0,3,0,2,2,2,1,1,30,38,-3.5789741767478915,False,CHALLENGER
8,3,7,0,1,0,1,0,4,0,2,14,33,-10.568079931477847,False,CHALLENGER
9,10,6,3,1,2,0,1,4,1,1,39,32,3.2505303619090995,True,CHALLENGER
10,10,8,2,1,3,0,3,2,1,1,29,28,-3.060027279210786,True,CHALLENGER
11,2,6,0,0,0,1,0,4,0,2,15,22,-7.874460423260722,False,CHALLENGER
12,9,0,1,0,1,0,1,2,2,0,36,25,13.332647479300405,True,CHALLENGER
13,8,2,1,0,0,0,4,0,2,0,32,18,8.672093572690507,True,CHALLENGER
14,3,9,0,2,0,2,1,3,1,1,29,40,-4.82173649494549,False,CHALLENGER
15,4,10,0,2,1,1,0,5,1,1,32,43,-2.167057397958665,False,CHALLENGER
16,1,6,0,1,0,1,0,2,0,2,12,32,-14.931865175395728,False,CHALLENGER
17,11,1,3,0,1,0,2,1,2,0,44,20,9.607753385603232,True,CHALLENGER
18,8,3,2,0,1,0,2,1,1,1,33,14,12.142866972777526,True,CHALLENGER
19,8,4,1,0,1,0,1,2,0,2,27,17,7.892788965506398,True,CHALLENGER
20,10,4,2,0,1,1,4,2,2,0,32,32,1.1007991407873519,True,CHALLENGER
21,11,0,3,0,1,0,3,0,2,0,44,20,9.062585480345646,True,CHALLENGER
22,6,7,1,1,0,2,1,4,2,0,24,25,2.642647921217801,False,CHALLENGER
23,0,11,0,2,0,1,1,3,0,2,19,32,-8.085991051335156,False,CHALLENGER
24,9,2,1,0,1,0,1,1,1,1,19,22,-2.5816052725418857,True,CHALLENGER
25,11,3,3,0,2,0,1,2,2,0,25,34,-4.487094804889992,True,CHALLENGER
26,2,10,0,2,0,1,0,4,1,1,21,43,-9.115861623313556,False,CHALLENGER
27,6,8,0,1,2,0,3,1,2,0,31,41,-9.62854723340942,False,CHALLENGER
28,3,10,0,2,0,1,1,3,0,2,23,31,-6.893532259907545,False,CHALLENGER
29,10,0,2,0,1,0,1,2,2,0,35,13,10.8682257693888,True,CHALLENGER
30,11,7,4,0,3,0,3,3,1,1,39,40,0.11520925614009059,True,CHALLENGER
31,8,7,1,0,0,1,2,3,1,1,35,44,-2.870419838129557,True,CHALLENGER
32,10,1,2,0,1,0,1,3,2,0,40,29,6.118296094553628,True,CHALLENGER
33,8,5,1,1,1,0,2,2,0,2,29,28,1.0113698470722596,True,CHALLENGER
34,11,1,3,0,2,0,2,2,1,1,30,13,6.890270510162729,True,CHALLENGER
35,11,4,3,0,1,0,4,0,1,1,21,26,0.2781474182379924,True,CHALLENGER
