,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,8,0,2,0,1,1,3,0,2,29,43,-1.967548105832833,False,PLATINUM
1,11,2,3,0,1,0,4,0,2,0,36,21,5.234773695167021,True,PLATINUM
2,3,10,0,2,0,1,2,3,0,1,23,42,-5.920698453052758,False,PLATINUM
3,5,8,0,1,0,2,1,4,1,1,35,40,-2.5358818782118746,False,PLATINUM
4,11,4,5,0,2,0,2,3,0,1,35,18,5.363238502123323,True,PLATINUM
5,10,1,1,0,0,1,3,1,1,1,30,25,2.2374731071885563,True,PLATINUM
6,11,3,4,0,2,0,3,1,0,1,50,30,3.127970102007673,True,PLATINUM
7,10,7,3,1,1,1,3,2,1,1,40,25,6.724693650479296,True,PLATINUM
8,10,1,2,0,1,0,2,2,1,0,30,16,9.346510859443391,True,PLATINUM
9,9,8,2,1,0,2,4,1,1,1,39,28,6.9984665925622025,True,PLATINUM
10,8,3,1,0,1,0,2,0,0,1,42,18,13.746515972547037,True,PLATINUM
11,9,10,2,1,1,1,3,3,1,0,54,42,1.946805658319171,False,PLATINUM
12,5,11,0,4,1,1,2,2,0,1,35,27,5.594294395189884,False,PLATINUM
13,9,8,2,1,1,1,1,4,2,0,33,54,-6.144031042613321,False,PLATINUM
14,0,11,0,4,0,1,0,4,0,2,26,46,-12.741566297513678,False,PLATINUM
15,9,6,2,2,3,0,3,2,0,2,53,41,2.92301430607575,True,PLATINUM
16,8,8,1,1,2,0,3,1,1,0,29,24,3.8226593359990773,True,PLATINUM
17,7,5,2,2,2,1,2,4,1,0,39,47,-3.3386887956198095,True,PLATINUM
18,8,1,1,0,0,0,2,1,1,1,31,17,7.301719266583042,True,PLATINUM
19,8,6,2,1,1,0,1,2,0,1,42,35,2.813911395755632,True,PLATINUM
20,4,9,0,1,1,1,0,4,1,1,34,34,3.5775818512630835,False,PLATINUM
21,0,6,0,0,0,1,0,3,2,0,27,49,-11.50569824044699,False,PLATINUM
22,2,5,0,0,0,0,0,4,0,1,25,39,-6.921631571552268,False,PLATINUM
23,8,9,1,1,1,0,1,2,1,1,27,23,3.049741359905312,True,PLATINUM
24,6,9,0,1,1,1,3,3,0,1,60,48,1.0918214382501006,False,PLATINUM
25,2,9,0,2,0,0,1,2,0,2,19,25,0.6851071385818344,False,PLATINUM
