,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,10,5,4,0,4,5,2,0,2,28,40,-3.3301640366689753,False,BRONZE
1,3,9,0,2,0,2,0,4,0,1,22,44,-9.502935497496516,False,BRONZE
2,1,7,0,2,0,1,0,4,0,2,10,31,-13.59264880864854,False,BRONZE
3,6,11,0,2,0,2,3,4,1,1,37,50,-5.488182916396951,False,BRONZE
4,4,11,0,4,0,2,1,5,2,0,34,48,-12.659186363439254,False,BRONZE
5,4,1,0,0,1,0,2,1,1,1,22,16,2.956156907402743,True,BRONZE
6,5,7,0,0,1,1,4,1,1,1,29,23,0.09816619906938229,True,BRONZE
7,1,9,0,1,0,0,0,3,1,1,16,38,-10.81244513909369,False,BRONZE
8,7,4,0,0,0,0,4,0,1,0,34,17,8.191256758744238,True,BRONZE
9,11,4,2,0,2,0,5,0,1,1,44,27,6.018507131625952,True,BRONZE
10,5,4,0,0,1,0,1,2,2,0,35,13,3.826013713021659,True,BRONZE
11,2,4,0,0,0,0,2,0,1,0,23,28,-4.468282521473526,False,BRONZE
12,7,3,0,0,1,0,1,1,1,0,30,16,14.230531904871107,True,BRONZE
13,1,4,0,3,0,0,0,0,0,0,85,77,1.4870675416600108,False,BRONZE
14,3,10,0,2,0,0,2,2,0,1,36,36,2.0415903614998356,False,BRONZE
15,8,7,2,1,1,1,3,2,1,1,36,37,0.4608679927351602,False,BRONZE
16,4,1,2,0,0,0,0,0,0,0,65,56,3.57663242731104,True,BRONZE
17,9,2,3,0,1,0,4,0,1,1,25,15,10.81954763900601,True,BRONZE
18,11,1,2,0,1,0,3,1,1,1,35,22,10.121024882884058,True,BRONZE
19,3,11,0,2,0,2,3,4,1,1,33,38,-3.8085452245691016,False,BRONZE
20,0,9,0,2,0,1,2,1,0,1,21,33,-6.411812419979576,False,BRONZE
21,3,10,0,1,0,2,0,4,0,2,23,43,-6.274422570372366,False,BRONZE
22,10,5,2,0,1,0,3,2,1,0,36,25,9.159305265478721,True,BRONZE
23,9,4,1,0,2,0,4,1,2,0,40,30,-1.0650031415068568,True,BRONZE
24,8,10,1,1,0,1,2,3,1,0,38,54,-3.7127366620810847,True,BRONZE
