,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,1,3,0,0,0,0,0,0,0,86,58,7.228129111323057,True,PLATINUM
1,4,2,2,3,0,0,0,0,0,0,85,71,-0.06511393025122203,True,PLATINUM
2,4,0,2,0,0,0,0,0,0,0,84,58,4.1278259920558185,True,PLATINUM
3,2,10,0,2,0,1,1,3,0,2,28,39,-8.281349333600893,False,PLATINUM
4,1,7,0,1,0,1,0,3,1,0,21,33,-8.81510007836588,False,PLATINUM
5,3,10,0,2,0,1,1,2,1,0,24,36,-7.218844589377682,False,PLATINUM
6,10,8,1,0,0,1,3,2,0,2,38,41,-4.936920496038333,True,PLATINUM
7,2,4,1,2,0,0,0,0,0,0,64,70,-2.65258167645721,False,PLATINUM
8,2,4,1,2,0,0,0,0,0,0,72,73,-1.3243848194287935,False,PLATINUM
9,3,10,0,2,0,1,0,4,0,2,16,34,-9.50519358739562,False,PLATINUM
10,1,11,0,3,0,0,0,3,1,1,19,33,-13.454218557543982,False,PLATINUM
11,7,6,0,1,0,2,3,2,2,0,29,24,-1.845614434550356,False,PLATINUM
12,9,0,1,0,1,0,2,1,2,0,35,16,9.113260110122937,True,PLATINUM
13,10,4,2,0,2,0,1,3,1,1,29,23,5.553937777819208,True,PLATINUM
14,1,11,0,3,0,1,2,2,1,0,30,57,-11.710585653500765,False,PLATINUM
15,1,9,0,1,0,1,2,2,0,2,28,38,-6.418909259709743,False,PLATINUM
16,5,11,1,3,0,1,1,3,1,0,26,34,-3.426247310713862,False,PLATINUM
17,9,2,1,0,1,0,4,1,0,0,33,13,13.26495053439929,True,PLATINUM
18,5,3,1,0,1,1,5,1,1,0,52,54,1.2540865704357458,True,PLATINUM
19,2,4,1,1,0,0,0,0,0,0,82,66,2.6041179471969045,False,PLATINUM
