,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,10,0,2,1,1,2,4,1,1,44,47,-0.22527176354682155,False,GOLD
1,10,1,2,0,1,0,4,0,1,1,34,18,11.730236762287191,True,GOLD
2,8,6,1,0,2,0,3,3,0,1,40,35,4.6139223618778615,True,GOLD
3,6,8,0,2,0,1,0,5,1,1,37,55,-8.011808862801779,False,GOLD
4,7,10,0,1,1,1,1,3,0,2,38,54,-5.947088906431887,False,GOLD
5,2,11,0,3,0,2,0,4,0,2,19,35,-2.6472423666613096,False,GOLD
6,4,2,0,0,1,0,3,0,1,1,33,14,14.487623445514068,True,GOLD
7,9,3,2,0,1,0,3,2,1,1,56,37,5.674106737002575,True,GOLD
8,9,1,1,0,0,0,3,0,0,1,32,12,16.342102974865465,True,GOLD
9,11,1,4,0,1,0,3,0,1,1,29,16,8.378665366921787,True,GOLD
10,11,3,4,0,0,0,4,0,1,1,41,28,3.6187195955118128,True,GOLD
11,5,8,0,2,0,2,0,4,1,1,25,30,-1.211138986355678,False,GOLD
12,3,10,0,2,0,1,1,4,0,2,28,29,1.5047689945062075,False,GOLD
13,7,1,1,0,1,0,2,1,1,0,37,15,14.832958868695577,True,GOLD
14,3,11,0,4,0,1,1,4,0,1,26,52,-11.436059083019174,False,GOLD
15,7,4,0,0,1,0,4,0,1,0,37,17,7.437532652337097,True,GOLD
16,11,2,2,0,0,1,4,0,1,1,45,27,7.036096089247067,True,GOLD
17,10,2,2,0,1,0,4,0,2,0,34,15,10.951773884009235,True,GOLD
18,11,5,3,0,1,0,4,1,0,0,54,38,8.651987984482822,True,GOLD
19,11,1,2,0,1,0,4,0,2,0,38,34,0.1027738591890568,True,GOLD
20,5,8,0,1,0,1,2,2,2,0,27,37,-5.896682402452903,False,GOLD
21,10,7,1,2,1,1,2,3,1,1,38,28,3.191484614028248,True,GOLD
22,2,9,0,2,0,1,1,3,0,2,32,33,-6.938498209764596,False,GOLD
23,3,8,0,1,0,1,2,1,0,0,19,18,-4.130623309987584,False,GOLD
24,10,5,2,0,1,1,3,3,0,1,22,15,3.084787825180719,True,GOLD
25,1,11,0,4,0,0,1,1,2,0,28,49,-3.5394397401964,False,GOLD
26,2,9,0,1,0,1,1,2,0,2,27,44,-6.580982859424125,False,GOLD
27,9,8,1,0,1,0,2,3,0,1,47,32,6.952137239668474,True,GOLD
28,11,6,3,1,1,1,4,1,1,1,50,47,0.8901636486113418,True,GOLD
29,0,11,0,3,0,1,2,1,0,1,19,29,-4.5446030222043134,False,GOLD
30,8,2,1,0,1,0,4,0,1,1,36,18,7.7096277907878275,True,GOLD
31,11,2,3,0,1,0,2,1,0,2,38,18,11.50663200996572,True,GOLD
32,3,11,0,5,0,2,3,3,0,1,40,36,2.1829857445656202,False,GOLD
33,10,8,2,1,1,1,4,0,0,2,48,35,5.232383183474639,True,GOLD
34,11,0,3,0,1,0,3,0,2,0,23,15,4.989946212830603,True,GOLD
35,7,6,1,0,1,0,3,1,1,1,35,30,3.148958935675367,True,GOLD
36,11,0,3,0,0,0,2,1,1,0,32,16,10.483507339827078,True,GOLD
37,11,4,4,0,2,0,4,2,2,0,41,44,-4.148694541077617,True,GOLD
38,8,3,2,0,1,0,4,0,2,0,39,31,3.2768788563332834,True,GOLD
39,6,9,0,2,0,1,1,4,1,1,26,33,-5.851642937364019,False,GOLD
40,4,10,0,1,1,0,0,4,2,0,43,50,-4.416957789843124,False,GOLD
