,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,5,2,0,1,0,2,2,1,1,43,33,0.7032419283958475,True,IRON
1,4,9,0,3,0,0,3,3,0,2,26,50,-12.65742696437868,False,IRON
2,1,8,0,3,0,1,2,1,0,2,28,29,-8.073641649788996,False,IRON
3,6,10,0,2,0,2,2,2,1,0,28,53,-10.49378045387088,False,IRON
4,2,11,0,3,0,1,0,3,0,2,4,17,-11.662595387496332,False,IRON
5,4,10,0,3,0,2,2,3,1,1,39,63,-7.235936170655094,False,IRON
6,5,4,0,0,1,0,3,1,0,1,34,24,0.6527406351002512,True,IRON
7,3,9,0,2,0,1,0,4,0,1,18,31,-8.865860053369936,False,IRON
8,10,4,2,0,1,0,3,2,0,1,49,34,3.7311705335897116,True,IRON
9,11,6,2,0,1,0,4,0,1,1,53,39,5.9596291229090355,True,IRON
10,5,7,1,1,0,1,2,2,2,0,43,24,9.283728837435142,False,IRON
11,10,3,4,0,0,0,3,1,2,0,45,27,10.13732900466242,True,IRON
12,6,3,0,0,0,0,3,0,1,1,41,8,16.775050708155366,True,IRON
13,11,1,3,0,1,0,1,2,0,1,36,19,7.529446678904044,True,IRON
14,8,6,2,0,1,0,4,1,1,1,45,41,-0.0989444963961219,True,IRON
15,7,7,1,1,1,0,4,2,1,0,51,55,-0.4691694526151977,False,IRON
16,7,9,1,1,0,1,1,2,1,0,25,38,-4.125053371573145,False,IRON
17,6,1,1,0,0,0,4,0,1,0,29,22,5.093874197056117,True,IRON
18,3,10,0,2,0,1,1,3,0,1,20,34,-11.355365045536452,False,IRON
19,10,5,1,0,1,0,2,3,1,0,36,30,5.771961782128997,True,IRON
20,9,7,2,1,1,1,4,1,1,0,37,40,3.1167226266708568,True,IRON
21,11,8,3,0,0,3,0,7,2,0,72,81,-3.7626746504666073,True,IRON
22,2,8,0,2,0,1,0,4,1,0,32,45,-3.008816430552848,False,IRON
23,8,3,1,0,1,0,3,0,1,1,36,18,12.036712242265818,True,IRON
24,4,11,0,7,1,2,4,2,0,2,59,63,-1.7315762538705428,False,IRON
25,3,8,0,1,0,1,2,1,1,1,10,31,-15.565371967073357,False,IRON
26,11,2,3,0,1,0,3,1,1,1,43,36,8.162653960141064,True,IRON
27,5,10,0,3,0,1,1,5,0,2,42,63,-9.372100074977311,False,IRON
28,1,5,0,0,0,1,0,3,2,0,14,27,-11.388114081347211,False,IRON
29,5,3,0,0,1,0,4,0,0,2,40,29,1.2768282323394047,True,IRON
30,6,3,0,0,1,0,4,0,1,1,41,32,4.737150797078456,True,IRON
31,11,2,5,0,2,0,4,0,2,0,33,28,-2.4818343984848354,True,IRON
32,4,10,0,2,0,1,0,3,0,1,24,56,-11.761709614689522,False,IRON
33,10,1,2,0,1,0,2,1,2,0,33,32,-1.985128667114573,True,IRON
34,9,2,3,0,1,0,4,0,2,0,42,17,8.069073444482093,True,IRON
35,10,10,2,1,1,0,0,4,0,0,46,43,-1.276468865809676,False,IRON
36,5,11,0,4,1,1,1,5,0,2,48,50,-4.8663103111290695,False,IRON
37,9,2,1,0,0,0,3,1,1,1,41,16,14.468094931864812,True,IRON
