,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,11,0,4,0,1,4,1,1,1,42,38,-0.718226569570632,False,BRONZE
1,3,8,0,1,0,1,1,4,1,1,21,46,-9.668542114495764,False,BRONZE
2,8,3,1,0,1,0,1,1,2,0,38,24,10.553512308277625,True,BRONZE
3,2,7,0,1,0,1,1,2,0,1,19,26,-4.511788042181884,False,BRONZE
4,10,6,2,1,2,0,2,4,1,1,47,40,0.5804384654530921,True,BRONZE
5,9,5,1,0,1,0,3,2,1,1,38,35,-0.8373709506975402,True,BRONZE
6,9,6,2,0,1,0,2,1,1,1,48,29,10.606825721511207,True,BRONZE
7,8,1,1,0,0,0,3,0,1,0,36,14,13.411626547892759,True,BRONZE
8,10,0,2,0,0,0,3,0,2,0,34,15,12.986395387013385,True,BRONZE
9,11,5,3,0,2,0,2,4,0,1,48,44,2.37452735002897,True,BRONZE
10,1,11,0,4,0,1,0,4,0,1,16,31,-9.507749877415186,False,BRONZE
11,5,11,0,5,2,2,3,5,1,1,50,58,2.866126876262072,False,BRONZE
12,11,2,3,0,1,0,4,0,1,0,47,30,8.835278030898408,True,BRONZE
13,5,11,0,5,0,2,0,5,0,2,25,32,0.3357574491291828,False,BRONZE
14,11,2,3,0,1,0,3,1,2,0,45,22,10.76991961389195,True,BRONZE
15,11,7,4,1,1,0,3,2,1,0,51,46,2.739192437436486,True,BRONZE
16,5,6,0,1,0,0,1,4,0,1,36,57,-7.780378305122355,False,BRONZE
17,1,11,0,3,0,1,0,3,0,2,16,37,-10.533340835841663,False,BRONZE
18,5,10,0,2,0,1,1,4,0,1,46,35,3.3306912710583205,False,BRONZE
19,5,7,0,1,0,1,0,5,2,0,46,42,-0.4700239779067559,False,BRONZE
20,0,9,0,2,0,1,1,3,1,0,9,30,-15.650199162816502,False,BRONZE
21,11,1,3,0,1,0,4,0,2,0,40,13,15.41679019782098,True,BRONZE
22,9,5,2,0,2,0,4,1,2,0,51,47,-2.68004398100841,True,BRONZE
23,0,11,0,4,0,1,1,3,0,2,41,39,1.868277717229148,False,BRONZE
24,11,1,3,0,1,0,4,0,2,0,32,11,13.070582008107799,True,BRONZE
25,11,1,4,0,0,0,3,0,0,1,40,25,5.886096704853941,True,BRONZE
26,1,9,0,1,0,0,1,3,0,1,37,50,-4.791183742208453,False,BRONZE
27,3,11,0,2,0,0,1,2,2,0,23,36,-2.758847541011022,False,BRONZE
28,5,9,1,2,1,0,1,5,1,1,39,47,-2.7450198946688786,False,BRONZE
29,0,11,0,2,0,1,1,2,0,2,8,27,-16.02686564895535,False,BRONZE
30,11,1,3,0,1,0,3,1,2,0,54,41,7.5080534429652275,True,BRONZE
31,3,8,0,1,0,1,0,3,0,2,19,29,-7.635861976001365,False,BRONZE
32,5,10,2,3,0,2,1,4,1,1,54,50,1.1365311869824524,False,BRONZE
33,2,11,0,4,0,0,1,4,1,0,42,48,2.9506769698203215,False,BRONZE
34,1,5,0,0,0,0,0,3,0,1,12,29,-13.464140084204235,False,BRONZE
35,8,3,1,0,1,0,4,1,0,1,46,32,3.6635082174205067,True,BRONZE
36,7,3,1,0,2,0,4,1,2,0,34,18,6.821780043080501,True,BRONZE
37,2,5,0,0,1,0,3,1,1,0,50,40,4.978765212698072,True,BRONZE
38,6,11,1,4,0,2,2,4,0,1,40,52,-5.469612296392725,False,BRONZE
39,9,6,1,0,2,0,2,3,1,1,45,38,3.7333112563596274,True,BRONZE
40,7,8,1,1,1,1,2,4,2,0,26,43,-7.861683926018351,False,BRONZE
41,11,5,4,0,1,0,3,2,1,1,42,31,6.631942776189021,True,BRONZE
42,7,8,1,1,0,1,2,3,1,0,24,33,-6.867105468750019,False,BRONZE
43,11,5,5,0,2,0,4,0,1,1,49,36,2.679454320271887,True,BRONZE
44,10,2,2,0,1,0,4,0,0,1,42,22,7.087565050167868,True,BRONZE
