,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,7,1,1,1,1,2,3,2,0,50,53,-5.474703940199831,False,GOLD
1,11,5,3,0,3,0,4,1,0,2,42,43,-1.6783887454614757,True,GOLD
2,1,10,0,2,0,0,0,3,1,1,8,26,-14.510165006834143,False,GOLD
3,10,2,1,0,1,0,2,2,2,0,20,16,1.076222834146435,True,GOLD
4,4,10,0,2,0,1,0,4,0,1,26,47,-9.484207549504902,False,GOLD
5,2,8,0,2,0,1,0,2,0,1,24,38,-4.769601062415433,False,GOLD
6,11,4,3,0,0,1,1,4,1,1,39,38,1.54656610481414,True,GOLD
7,2,2,0,4,0,0,0,0,0,0,107,81,1.3409947990852729,True,GOLD
8,1,9,0,2,0,1,1,3,2,0,16,40,-13.209957352559229,False,GOLD
9,10,4,2,0,1,0,4,0,0,1,48,36,4.5638704757222825,True,GOLD
10,8,7,1,0,1,1,5,0,1,1,44,23,6.227235812139639,True,GOLD
11,6,9,1,2,0,1,1,3,1,1,25,37,-6.618384032630985,False,GOLD
12,7,2,1,0,1,0,2,1,1,0,28,18,7.354038032433451,True,GOLD
13,11,2,3,0,1,0,3,1,1,1,27,24,0.6590319069737447,True,GOLD
14,9,8,1,1,1,1,5,2,0,2,33,42,-6.030262882520752,True,GOLD
15,2,4,1,3,0,0,0,0,0,0,72,71,-0.6597423527878021,False,GOLD
16,2,4,1,4,0,0,0,0,0,0,86,103,-1.2690841573827072,False,GOLD
17,2,8,0,1,0,1,0,4,0,1,13,37,-12.095103577098875,False,GOLD
18,9,9,3,1,1,2,2,3,1,1,38,51,-4.195679758726158,False,GOLD
19,3,10,0,2,0,2,2,3,0,2,35,56,-6.093746345884064,False,GOLD
20,7,10,1,3,1,1,1,4,1,1,32,33,0.24517760165601743,False,GOLD
21,5,4,0,0,1,1,4,0,2,0,25,30,-3.3673519323328804,True,GOLD
22,1,10,0,2,0,1,0,2,0,2,20,28,-8.21283084919338,False,GOLD
23,11,1,3,0,2,0,2,2,0,1,51,39,3.5694915493393466,True,GOLD
24,2,10,0,2,0,2,0,4,1,1,23,38,-10.378798585666871,False,GOLD
25,2,8,0,1,0,0,0,3,0,2,7,30,-14.961274448713578,False,GOLD
26,2,10,0,2,0,1,2,2,0,1,27,46,-7.256627727221563,False,GOLD
27,7,5,1,0,1,0,3,1,0,2,41,26,5.968884245940437,True,GOLD
28,9,0,2,0,1,0,2,1,2,0,39,18,11.466886396819788,True,GOLD
29,11,5,4,0,3,0,4,2,0,1,50,46,0.5452754659267782,True,GOLD
30,5,8,0,2,0,2,0,4,2,0,21,51,-11.760526262305902,False,GOLD
31,11,4,3,0,1,0,3,1,1,1,47,21,9.697065336318623,True,GOLD
32,2,11,0,3,0,1,1,3,0,2,26,38,-2.719797043387416,False,GOLD
33,11,2,2,0,2,0,3,4,2,0,28,37,-3.644315738798433,True,GOLD
34,11,1,2,0,1,0,4,0,0,0,46,26,7.593947188834768,True,GOLD
35,9,3,1,0,0,1,3,1,0,1,36,36,0.9612441042391779,True,GOLD
