,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,1,2,0,0,0,0,0,0,0,56,52,-2.3614598388468195,True,BRONZE
1,4,2,2,1,0,0,0,0,0,0,61,68,-2.699364233160061,True,BRONZE
2,2,4,1,3,0,0,0,0,0,0,92,102,0.5411445621811026,False,BRONZE
3,4,4,2,1,0,0,0,0,0,0,85,70,0.7508787858598396,False,BRONZE
4,1,4,0,1,0,0,0,0,0,0,85,75,0.17409999253293762,False,BRONZE
5,2,4,1,2,0,0,0,0,0,0,70,72,-1.4028258985142301,False,BRONZE
6,2,4,1,2,0,0,0,0,0,0,82,83,0.10935205847537333,False,BRONZE
7,9,4,2,0,1,0,3,0,0,1,35,27,2.2692521471085882,True,BRONZE
8,10,5,3,1,2,0,5,1,2,0,41,26,7.323894905316514,True,BRONZE
9,4,11,0,3,0,1,0,4,2,0,27,30,0.8626594920330177,False,BRONZE
10,1,11,0,4,0,1,1,3,1,1,13,34,-11.37075627799063,False,BRONZE
11,5,8,1,1,1,1,3,2,0,2,41,46,-1.594115783178495,False,BRONZE
12,8,10,5,3,5,0,2,6,1,1,78,69,0.0970593868117362,False,BRONZE
13,10,7,1,2,1,0,2,3,1,1,48,35,9.246507801914966,True,BRONZE
14,3,2,2,1,0,0,0,0,0,0,59,71,-0.9303221121996188,False,BRONZE
15,2,4,0,3,0,0,0,0,0,0,68,91,-2.4320661766593616,False,BRONZE
16,2,4,1,1,0,0,0,0,0,0,63,63,-1.3371251077089,False,BRONZE
17,4,4,1,2,0,0,0,0,0,0,55,63,-1.4249364467854377,False,BRONZE
