,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,7,2,1,2,0,3,2,1,1,48,41,3.6222871727001404,True,CHALLENGER
1,9,11,2,2,1,1,1,3,0,1,47,45,-2.391627762204891,False,CHALLENGER
2,8,9,1,2,1,1,2,3,0,1,49,47,3.400662629443154,True,CHALLENGER
3,8,4,1,0,0,1,1,3,0,2,35,33,3.738563562421035,True,CHALLENGER
4,4,7,0,1,0,1,0,3,0,1,15,48,-12.58180331442179,False,CHALLENGER
5,11,2,3,0,2,0,3,2,1,1,30,17,5.049643885339293,True,CHALLENGER
6,9,5,2,0,1,1,3,1,0,2,35,17,6.5064894917457465,True,CHALLENGER
7,9,1,1,0,0,0,1,1,1,0,31,25,6.304777433229894,True,CHALLENGER
8,9,6,1,1,2,0,4,0,1,1,35,10,15.792565780543733,True,CHALLENGER
9,10,2,2,0,1,0,3,0,2,0,36,20,7.4500096445100965,True,CHALLENGER
10,5,2,0,0,1,0,2,1,2,0,30,15,8.131199496423868,True,CHALLENGER
11,2,7,0,0,0,1,0,3,0,2,22,31,-6.455843368841052,False,CHALLENGER
12,6,9,0,1,0,1,0,3,1,1,26,34,-1.3885647548742455,False,CHALLENGER
13,7,1,1,0,0,0,0,3,1,0,30,23,4.970347934756468,True,CHALLENGER
14,9,2,1,0,2,0,2,1,1,1,28,14,8.850927722487036,True,CHALLENGER
15,4,8,0,1,0,2,1,3,1,1,15,20,-5.694181324538924,False,CHALLENGER
16,2,11,0,4,0,2,2,2,0,2,44,49,-1.9852157851765284,False,CHALLENGER
17,6,10,1,3,1,2,3,3,1,0,64,42,3.7941905201015373,False,CHALLENGER
18,4,5,0,0,1,0,2,2,0,1,35,24,6.970201466018096,True,CHALLENGER
19,2,7,0,1,0,0,0,3,0,2,19,28,-6.178893950031494,False,CHALLENGER
20,7,10,1,1,0,2,2,2,0,2,44,38,4.70315681154878,False,CHALLENGER
21,4,8,0,1,1,0,1,3,2,0,11,43,-12.455905224923683,False,CHALLENGER
22,2,8,0,0,0,1,1,2,0,2,21,42,-8.513480263214873,False,CHALLENGER
23,4,8,0,1,1,1,1,3,0,2,30,37,-3.182694866154989,False,CHALLENGER
24,9,4,2,0,0,1,4,0,1,1,37,18,10.29525225501304,True,CHALLENGER
25,10,3,2,0,1,0,3,2,1,1,28,22,3.5840272007808096,True,CHALLENGER
26,10,3,2,0,2,0,3,1,2,0,48,30,7.772456217921466,True,CHALLENGER
