,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,2,3,0,1,0,3,0,1,1,41,36,1.775078043517155,True,MASTER
1,5,5,0,1,0,1,0,4,1,1,32,43,-3.8564187670613848,False,MASTER
2,10,1,2,0,1,0,0,3,1,1,28,19,3.82061571912584,True,MASTER
3,11,2,2,0,2,0,3,1,2,0,40,27,4.7035397180350955,True,MASTER
4,6,2,0,0,1,0,3,0,1,1,33,13,11.409996248319132,True,MASTER
5,8,1,2,0,0,1,1,2,2,0,29,14,9.067973855488091,True,MASTER
6,4,4,2,3,0,0,0,0,0,0,65,75,-1.4019037067313462,True,MASTER
7,4,4,1,1,0,0,0,0,0,0,66,69,1.3129314391575306,True,MASTER
8,6,3,1,0,1,0,3,0,0,2,26,11,10.843290032995803,True,MASTER
9,7,3,1,0,1,0,3,1,0,2,26,11,8.305467365579219,True,MASTER
10,2,5,0,1,1,0,0,2,0,2,27,44,-6.770577110120307,False,MASTER
11,8,4,1,0,1,0,4,0,0,2,34,29,1.214780602185023,True,MASTER
12,10,2,2,0,1,0,2,1,2,0,33,20,9.676561989773397,True,MASTER
13,11,1,3,0,1,0,2,1,2,0,40,19,7.186097094155727,True,MASTER
14,2,4,2,2,0,0,0,0,0,0,64,72,-1.8702230708428047,False,MASTER
15,4,3,3,2,0,0,0,0,0,0,103,91,0.6791090404055566,True,MASTER
16,1,7,0,0,0,1,2,1,0,2,16,36,-11.269895890700113,False,MASTER
17,7,8,1,2,2,1,4,2,1,1,51,44,-1.7981543122898245,True,MASTER
18,9,2,1,0,1,0,2,1,1,1,38,13,13.491688872900042,True,MASTER
19,9,3,1,0,1,1,2,3,2,0,30,27,0.8842159088545856,True,MASTER
20,11,2,3,0,1,0,3,1,1,1,45,28,5.537536523667846,True,MASTER
21,2,7,0,1,1,0,0,3,0,2,22,42,-9.813298159923697,False,MASTER
22,7,3,1,0,1,0,3,0,1,1,34,24,7.259279709603263,True,MASTER
